\\Hourly Nodal Prices Report,,,,,,,,,,,,,,,,
\\Created at 2018-05-22 08:00:00,,,,,,,,,,,,,,,,
\\For 2014,,,,,,,,,,,,,,,,
Zones,,Reference,North West,North West,North West,North East,North East,North East,Ottawa,East,Toronto,Essa,Bruce,South West,Niagara,West
Date,Hour,Richview,Atikokan,Pineportage,Thunderbay,Andrews,Canyon,NPIroqfalls,TAOHSC,Saunders,Darlington,Desjoachims,BruceB,GerdauCam,BECK2,Greenfield
2014-01-01,1,17.13,14.04,13.71,14.9,15.86,16.63,16.16,17.13,16.97,16.97,16.97,16.63,16.97,16.79,16.97
2014-01-01,2,30.94,25.36,24.75,26.9,28.65,30.03,29.19,30.94,30.63,30.63,30.63,30.03,30.63,30.33,30.63
2014-01-01,3,50.99,41.8,40.79,44.34,47.22,49.51,48.11,50.99,50.49,50.49,50.49,49.51,50.49,49.99,50.49
2014-01-01,4,39.15,32.09,31.32,34.04,36.25,38.01,36.94,39.15,38.76,38.76,38.76,38.01,38.76,38.39,38.76
2014-01-01,5,14.78,12.12,11.83,12.86,13.69,14.35,13.95,14.78,14.64,14.64,14.64,14.35,14.64,14.49,14.64
2014-01-01,6,14.66,12.01,11.73,12.74,13.57,14.23,13.82,14.66,14.51,14.51,14.51,14.23,14.51,14.37,14.51
2014-01-01,7,14.74,12.09,11.79,12.82,13.65,14.31,13.91,14.74,14.6,14.6,14.6,14.31,14.6,14.45,14.6
2014-01-01,8,14.59,11.96,11.67,12.69,13.51,14.16,13.76,14.59,14.44,14.44,14.44,14.16,14.44,14.3,14.44
2014-01-01,9,14.58,11.95,11.66,12.67,13.5,14.15,13.75,14.58,14.43,14.43,14.43,14.15,14.43,14.29,14.43
2014-01-01,10,15.34,12.58,12.27,13.34,14.21,14.89,14.47,15.34,15.19,15.19,15.19,14.89,15.19,15.04,15.19
2014-01-01,11,21.31,209.24,17.04,18.53,19.73,20.68,20.1,21.31,21.1,21.1,21.1,20.68,21.1,20.89,21.1
2014-01-01,12,30.08,24.66,24.06,26.16,27.85,29.2,28.37,30.08,29.78,29.78,29.78,29.2,29.78,29.49,29.78
2014-01-01,13,20.23,16.58,16.19,17.59,18.73,19.64,19.09,20.23,20.03,20.03,20.03,19.64,20.03,19.83,20.03
2014-01-01,14,14.59,177.63,11.67,12.68,13.51,14.16,13.76,14.59,14.44,14.44,14.44,14.16,14.44,14.3,14.44
2014-01-01,15,13.39,342.5,10.71,11.64,12.39,13,12.63,13.39,13.25,13.25,13.25,13,13.25,13.12,13.25
2014-01-01,16,14.21,11.65,11.37,12.36,13.16,13.8,13.41,14.21,14.07,14.07,14.07,13.8,14.07,13.93,14.07
2014-01-01,17,15.49,12.7,12.39,13.47,14.34,15.04,14.61,15.49,15.34,15.34,15.34,15.04,15.34,15.18,15.34
2014-01-01,18,35.11,28.78,28.09,30.54,32.51,34.09,33.13,35.11,34.77,34.77,34.77,34.09,34.77,34.43,34.77
2014-01-01,19,36.74,30.12,29.39,31.95,34.02,35.67,34.66,36.74,36.38,36.38,36.38,35.67,36.38,36.02,36.38
2014-01-01,20,16.39,13.43,13.11,14.25,15.18,15.91,15.46,16.39,16.23,16.23,16.23,15.91,16.23,16.07,16.23
2014-01-01,21,20.59,16.88,16.47,17.9,19.06,19.99,19.42,20.59,20.39,20.39,20.39,19.99,20.39,20.18,20.39
2014-01-01,22,62.59,51.3,50.07,54.43,57.95,60.77,59.05,62.59,61.97,61.97,61.97,60.77,61.97,61.36,61.97
2014-01-01,23,40.12,32.89,32.1,34.89,37.15,38.96,37.85,40.12,39.73,39.73,39.73,38.96,39.73,39.34,39.73
2014-01-01,24,17.18,14.08,13.74,14.93,15.9,16.67,16.2,17.18,17,17,17,16.67,17,16.84,17
2014-01-02,1,18.62,15.26,14.89,16.19,17.24,18.07,17.56,18.62,18.43,18.43,18.43,18.07,18.43,18.25,18.43
2014-01-02,2,14.63,11.99,11.71,12.72,13.55,14.2,13.8,14.63,14.49,14.49,14.49,14.2,14.49,14.34,14.49
2014-01-02,3,38.85,31.84,31.08,33.78,35.97,37.72,36.65,38.85,38.47,38.47,38.47,37.72,38.47,38.09,38.47
2014-01-02,4,33.34,27.33,26.67,28.99,30.87,32.37,31.45,33.34,33.01,33.01,33.01,32.37,33.01,32.69,33.01
