\\Hourly Nodal Prices Report,,,,,,,,,,,,,,,,
\\Created at 2018-05-22 08:00:00,,,,,,,,,,,,,,,,
\\For 2010,,,,,,,,,,,,,,,,
Zones,,Reference,North West,North West,North West,North East,North East,North East,Ottawa,East,Toronto,Essa,Bruce,South West,Niagara,West
Date,Hour,Richview,Atikokan,Pineportage,Thunderbay,Andrews,Canyon,NPIroqfalls,TAOHSC,Saunders,Darlington,Desjoachims,BruceB,GerdauCam,BECK2,Greenfield
2010-01-01,1,41.11,34.55,33.15,36.38,37.03,39.91,39.15,41.52,38.42,40.7,39.91,39.53,39.91,38.78,39.53
2010-01-01,2,28.69,141.79,478.35,25.39,25.85,27.86,27.33,28.98,26.81,28.41,27.86,27.59,27.86,27.07,27.59
2010-01-01,3,27.7,149.77,505.33,24.51,24.96,26.89,26.38,27.98,25.89,27.43,26.89,26.64,26.89,20.92,26.64
2010-01-01,4,30.83,141.44,480.4,27.29,27.78,29.94,29.36,31.15,28.82,30.53,29.94,29.65,29.94,21.1,29.65
2010-01-01,5,29.91,144.06,478.14,26.47,26.94,29.03,28.48,30.21,27.95,29.61,29.03,28.75,29.03,28.21,28.75
2010-01-01,6,36.32,108.1,401.22,32.14,32.72,35.26,34.59,36.68,33.94,35.96,35.26,34.92,35.26,34.26,34.92
2010-01-01,7,22.64,19.02,18.26,20.03,20.39,21.98,21.56,22.87,21.16,22.41,21.98,21.76,21.98,21.36,21.76
2010-01-01,8,13.49,11.33,10.88,11.94,12.15,13.1,12.85,13.62,12.6,13.35,13.1,12.97,13.1,12.72,12.97
2010-01-01,9,7.7,6.47,6.21,6.81,6.94,7.47,7.33,7.78,7.19,7.62,7.47,7.4,7.47,7.26,7.4
2010-01-01,10,9.88,8.3,7.96,8.74,8.9,9.59,9.4,9.98,9.23,9.78,9.59,9.49,9.59,9.32,9.49
2010-01-01,11,31.97,26.86,25.78,28.29,28.8,31.04,30.44,32.29,29.88,31.65,31.04,30.74,31.04,30.16,30.74
2010-01-01,12,21.58,18.13,17.4,19.1,19.44,20.95,20.55,21.8,20.17,21.37,20.95,20.75,20.95,20.36,20.75
2010-01-01,13,25.73,21.62,20.75,22.78,23.18,24.98,24.51,25.99,24.05,25.48,24.98,24.74,24.98,24.28,24.74
2010-01-01,14,17.02,14.3,13.73,15.06,15.34,16.53,16.21,17.19,15.91,16.85,16.53,16.37,16.53,16.06,16.37
2010-01-01,15,25.69,21.59,20.72,22.74,23.15,24.94,24.47,25.95,24.01,25.44,24.94,24.7,24.94,24.24,24.7
2010-01-01,16,7.6,6.39,6.13,6.72,6.85,7.38,7.24,7.68,7.1,7.53,7.38,7.31,7.38,7.17,7.31
2010-01-01,17,11.21,-155.01,-148.76,9.92,10.1,10.88,10.67,11.32,10.48,11.1,10.88,10.78,10.88,10.57,10.78
2010-01-01,18,18.69,-813.26,-780.47,16.54,16.84,18.15,17.8,18.88,17.47,18.51,18.15,17.98,18.15,17.64,17.98
2010-01-01,19,39.98,29.56,28.37,35.38,36.02,38.82,38.08,40.39,37.37,39.59,38.82,38.45,38.82,37.72,38.45
2010-01-01,20,30.99,26.04,24.99,27.43,27.92,30.09,29.52,31.31,28.97,30.69,30.09,29.8,30.09,29.24,29.8
2010-01-01,21,35.16,29.55,28.36,31.11,31.68,34.13,33.49,35.52,32.86,34.81,34.13,33.81,34.13,33.17,33.81
2010-01-01,22,30.69,25.79,24.75,27.16,27.65,29.8,29.23,31,28.68,30.39,29.8,29.51,29.8,28.95,29.51
2010-01-01,23,35.52,29.85,28.65,31.43,32,34.49,33.83,35.88,33.2,35.17,34.49,34.15,34.49,33.51,34.15
2010-01-01,24,24.58,20.66,19.82,21.75,22.14,23.86,23.41,24.83,22.97,24.33,23.86,23.63,23.86,23.19,23.63
2010-01-02,1,31.12,26.15,25.1,27.54,28.04,30.21,29.64,31.44,29.08,30.81,30.21,29.92,30.21,29.36,29.92
2010-01-02,2,27.39,23.01,22.09,24.24,24.67,26.59,26.08,27.66,25.59,27.12,26.59,26.33,26.59,25.84,26.33
2010-01-02,3,27.05,22.73,21.82,23.94,24.37,26.26,25.76,27.32,25.28,26.78,26.26,26.01,26.26,25.52,26.01
2010-01-02,4,27.42,62.85,60.31,24.27,24.7,26.62,26.12,27.7,25.62,27.15,26.62,26.37,26.62,25.87,26.37
2010-01-02,5,29.16,24.5,23.51,25.8,26.27,28.31,27.77,29.45,27.25,28.87,28.31,28.03,28.31,27.51,28.03
2010-01-02,6,34.31,26.52,25.45,30.37,30.91,33.31,32.68,34.66,32.07,33.98,33.31,32.99,33.31,32.37,32.99
2010-01-02,7,32.33,24.71,23.71,28.61,29.13,31.39,30.79,32.66,30.22,32.01,31.39,31.09,31.39,30.5,31.09
2010-01-02,8,33.87,26.03,24.98,29.98,30.52,32.89,32.26,34.22,31.66,33.54,32.89,32.57,32.89,31.96,32.57
2010-01-02,9,30.93,23.31,22.37,27.37,27.87,30.03,29.46,31.24,28.91,30.62,30.03,29.74,30.03,29.18,29.74
2010-01-02,10,34.62,23.4,22.46,30.64,31.19,33.61,32.97,34.97,32.35,34.28,33.61,33.29,33.61,32.66,33.29
2010-01-02,11,51.93,25.01,24.01,45.96,46.78,50.42,49.46,52.46,48.53,51.42,50.42,49.93,50.42,48.99,49.93
2010-01-02,12,46.52,25.16,24.15,41.17,41.91,45.17,44.31,47,43.48,46.07,45.17,44.73,45.17,43.89,44.73
2010-01-02,13,45.4,25.04,24.03,40.18,40.9,44.08,43.24,45.86,42.43,44.96,44.08,43.66,44.08,42.83,43.66
2010-01-02,14,43.55,23.5,22.55,38.54,39.24,42.28,41.48,43.99,40.7,43.12,42.28,41.88,42.28,41.09,41.88
2010-01-02,15,33.7,26.13,25.07,29.82,30.36,32.71,32.09,34.04,31.49,33.36,32.71,32.4,32.71,31.79,32.4
2010-01-02,16,42.2,-139.72,-134.09,37.35,38.02,40.98,40.2,42.63,39.44,41.79,40.98,40.58,40.98,39.82,40.58
2010-01-02,17,30.77,23.69,22.74,27.23,27.72,29.88,29.31,31.08,28.76,30.47,29.88,29.59,29.88,29.03,29.59
2010-01-02,18,535.9,-77.45,-74.32,485.74,494.49,530,522.75,537.95,512.98,533.9,530,527.78,530,517.82,527.78
2010-01-02,19,571.19,-1988.79,-1929.3,522.72,532.14,569.12,562.54,571.91,552.03,570.49,569.12,567.96,569.12,557.24,567.96
2010-01-02,20,54.21,-1813.12,-1740.01,47.98,48.84,52.63,51.63,54.76,50.67,53.68,52.63,52.13,52.63,51.15,52.13
2010-01-02,21,43.71,29.73,28.53,38.68,39.38,42.44,41.63,44.15,40.85,43.28,42.44,42.03,42.44,41.24,42.03
2010-01-02,22,42.95,-138.12,-132.55,38.01,38.7,41.7,40.91,43.39,40.14,42.53,41.7,41.3,41.7,40.52,41.3
2010-01-02,23,40.94,27.06,25.97,36.24,36.89,39.75,38.99,41.36,38.27,40.54,39.75,39.37,39.75,38.63,39.37
2010-01-02,24,37.13,-137.14,-131.61,32.86,33.45,36.04,35.36,37.5,34.7,36.76,36.04,35.7,36.04,35.02,35.7
2010-01-03,1,36.4,28.23,27.09,32.21,32.79,35.34,34.67,36.77,34.02,36.04,35.34,35,35.34,34.34,35
2010-01-03,2,45.53,38.26,36.71,40.29,41.02,44.2,43.36,45.98,42.55,45.07,44.2,43.78,44.2,42.95,43.78
2010-01-03,3,35.82,30.1,28.89,31.7,32.27,34.78,34.12,36.18,33.48,35.47,34.78,34.44,34.78,33.79,34.44
2010-01-03,4,36.69,30.82,29.58,32.46,33.05,35.61,34.94,37.05,34.28,36.32,35.61,35.27,35.61,34.61,35.27
2010-01-03,5,33.92,-142.27,-141.9,30.02,30.56,32.93,32.31,34.27,31.71,33.59,32.93,32.62,32.93,32,32.62
2010-01-03,6,35.12,24.83,23.83,31.08,31.64,34.1,33.45,35.48,32.82,34.77,34.1,33.77,34.1,33.13,33.77
2010-01-03,7,30.34,24.62,23.63,26.85,27.34,29.46,28.9,30.65,28.36,30.05,29.46,29.18,29.46,28.63,29.18
2010-01-03,8,34.71,26.8,25.72,30.72,31.27,33.7,33.06,35.07,32.44,34.37,33.7,33.38,33.7,32.75,33.38
2010-01-03,9,35.39,-311.39,-309.57,31.32,31.89,34.36,33.71,35.75,33.08,35.04,34.36,34.03,34.36,33.39,34.03
2010-01-03,10,34.46,23.42,22.47,30.5,31.05,33.46,32.82,34.81,32.21,34.12,33.46,33.14,33.46,32.51,33.14
2010-01-03,11,34.78,22.87,21.95,30.77,31.33,33.76,33.12,35.13,32.5,34.43,33.76,33.44,33.76,32.81,33.44
2010-01-03,12,38.25,25.25,24.23,33.85,34.46,37.14,36.43,38.64,35.75,37.87,37.14,36.78,37.14,36.09,36.78
2010-01-03,13,32.36,23.28,22.35,28.64,29.15,31.41,30.82,32.69,30.24,32.04,31.41,31.11,31.41,30.53,31.11
2010-01-03,14,23.61,19.45,18.67,20.89,21.27,22.93,22.49,23.85,22.07,23.38,22.93,22.7,22.93,22.28,22.7
2010-01-03,15,37.31,25.1,24.09,33.02,33.62,36.22,35.54,37.69,34.87,36.94,36.22,35.88,36.22,35.2,35.88
2010-01-03,16,50.76,-139.74,-134.11,44.92,45.73,49.28,48.34,51.27,47.44,50.26,49.28,48.81,49.28,47.88,48.81
2010-01-03,17,27.46,-810.32,-777.64,24.3,24.74,26.66,26.16,27.74,25.66,27.19,26.66,26.41,26.66,25.91,26.41
2010-01-03,18,53.49,36.09,34.63,47.34,48.19,51.93,50.94,54.03,49.99,52.96,51.93,51.43,51.93,50.46,51.43
2010-01-03,19,50.51,26.42,25.36,44.7,45.5,49.04,48.1,51.02,47.2,50.01,49.04,48.56,49.04,47.65,48.56
2010-01-03,20,51.31,25.54,24.52,45.41,46.23,49.82,48.87,51.83,47.96,50.8,49.82,49.34,49.82,48.41,49.34
2010-01-03,21,49.43,-140.19,-134.53,43.75,44.53,47.99,47.08,49.93,46.2,48.94,47.99,47.53,47.99,46.64,47.53
2010-01-03,22,43.29,36.29,34.83,38.31,39,42.03,41.23,43.73,40.46,42.87,42.03,41.63,42.03,40.84,41.63
2010-01-03,23,36.19,28.88,27.72,32.03,32.6,35.14,34.47,36.56,33.82,35.83,35.14,34.8,35.14,34.14,34.8
2010-01-03,24,32.79,24.03,23.06,29.01,29.54,31.83,31.23,33.12,30.64,32.46,31.83,31.52,31.83,30.93,31.52
2010-01-04,1,45.48,27.82,26.7,40.25,40.98,44.16,43.32,45.94,42.51,45.03,44.16,43.73,44.16,42.91,43.73
2010-01-04,2,36.74,30.88,29.63,32.51,33.1,35.67,34.99,37.11,34.34,36.38,35.67,35.33,35.67,34.66,35.33
2010-01-04,3,31.23,25.18,24.17,27.63,28.13,30.32,29.74,31.54,29.18,30.92,30.32,30.03,30.32,29.46,30.03
