\\Hourly Nodal Prices Report,,,,,,,,,,,,,,,,
\\Created at 2024-01-31 08:01:39,,,,,,,,,,,,,,,,
\\For 2023,,,,,,,,,,,,,,,,
Zones,,Reference,North West,North West,North West,North East,North East,North East,Ottawa,East,Toronto,Essa,Bruce,South West,Niagara,West
Date,Hour,Richview,Atikokan,Pineportage,Thunderbay,Andrews,Canyon,NPIroqfalls,TAOHSC,Saunders,Darlington,Desjoachims,BruceB,GerdauCam,BECK2,Greenfield
2023-01-01,1,14.93,12.59,12.24,,13.82,12.11,7.45,14.77,14.63,14.78,14.78,14.49,14.93,14.63,14.93
2023-01-01,2,28.92,24.30,23.70,,26.77,28.07,27.54,28.63,28.35,28.63,28.63,28.07,28.92,28.35,28.92
2023-01-01,3,14.84,12.47,12.17,,13.74,14.41,14.13,14.69,14.55,14.69,14.69,14.41,14.84,14.55,14.84
2023-01-01,4,24.07,20.23,19.73,,22.29,23.37,22.92,23.83,23.60,23.83,23.83,23.37,24.07,23.60,24.07
2023-01-01,5,29.01,24.38,23.78,,26.86,28.16,27.63,28.72,28.44,28.72,28.72,28.16,29.01,28.44,29.01
2023-01-01,6,17.54,14.74,14.38,,16.24,17.03,16.70,17.37,17.20,17.37,17.37,17.03,17.54,17.20,17.54
2023-01-01,7,32.46,27.28,26.61,,30.05,31.51,30.91,32.14,31.82,32.14,32.14,31.51,32.46,31.82,32.46
2023-01-01,8,14.59,12.26,11.96,,13.51,14.16,13.89,14.44,14.30,14.44,14.44,14.16,14.59,14.30,14.59
2023-01-01,9,14.85,12.48,12.17,,13.75,14.41,14.14,14.70,14.55,14.70,14.70,14.41,14.85,14.55,14.85
2023-01-01,10,14.01,11.77,11.48,,12.97,13.60,13.34,13.87,13.73,13.87,13.87,13.60,14.01,13.73,14.01
2023-01-01,11,14.65,12.31,12.01,,13.57,14.22,13.95,14.50,14.36,14.50,14.50,14.22,14.65,14.36,14.65
