Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1950,110.3,53,27.2,82.75,57.4 ,65.4 ,29.2 ,59.1 ,47.1 ,83.0 ,55.2 ,56.5 ,60.9 ,40.6 ,53.9 ,75.2 ,49.0 ,77.1 ,27.7 ,44.3 ,87.0 ,26.7 ,53.2 ,36.8 ,82.5 ,30.5 ,22.3 ,67.1 
1951,71.3,59,29.3,85.05,83.2 ,74.0 ,70.2 ,79.9 ,29.4 ,40.9 ,43.3 ,29.2 ,41.6 ,77.0 ,24.9 ,54.4 ,39.6 ,66.6 ,47.0 ,32.7 ,52.4 ,63.0 ,78.6 ,68.0 ,86.9 ,99.2 ,68.8 ,69.5 
1952,77.6,69,40.3,118,104.9 ,46.1 ,130.7 ,69.9 ,51.3 ,41.6 ,36.0 ,52.1 ,53.8 ,87.9 ,91.1 ,48.6 ,59.1 ,49.5 ,88.5 ,129.0 ,39.0 ,56.6 ,100.1 ,107.0 ,42.0 ,45.3 ,53.9 ,71.0 
1953,57.7,71,39.95,106.1,67.3 ,69.2 ,57.0 ,44.0 ,66.7 ,45.6 ,91.3 ,66.8 ,101.2 ,111.0 ,72.5 ,94.3 ,96.9 ,54.8 ,72.2 ,54.5 ,122.8 ,38.8 ,86.2 ,37.4 ,83.9 ,41.1 ,56.6 ,75.9 
1954,64.4,52,26.9,72.15,68.3 ,43.6 ,60.1 ,26.2 ,52.1 ,37.7 ,44.2 ,60.7 ,27.6 ,51.1 ,48.1 ,69.0 ,98.8 ,38.7 ,68.3 ,53.4 ,37.4 ,48.6 ,58.3 ,36.1 ,26.0 ,67.6 ,75.0 ,69.3 
1955,33.8,63,34,112.1,55.6 ,50.5 ,78.6 ,117.6 ,104.2 ,56.3 ,57.7 ,50.8 ,38.9 ,61.4 ,55.8 ,141.9 ,42.4 ,35.1 ,72.4 ,66.1 ,25.1 ,106.6 ,37.9 ,63.2 ,32.9 ,78.1 ,41.2 ,45.9 
1956,49.8,60,27.95,90.15,54.7 ,58.8 ,29.9 ,85.0 ,28.2 ,87.4 ,50.2 ,61.8 ,74.9 ,82.8 ,65.5 ,48.4 ,35.4 ,55.4 ,88.0 ,27.7 ,64.1 ,52.3 ,48.0 ,94.0 ,48.9 ,92.3 ,83.2 ,23.5 
1957,66.8,58,24.55,98.7,34.9 ,49.6 ,53.7 ,106.4 ,38.8 ,57.8 ,28.2 ,70.7 ,83.6 ,93.5 ,69.9 ,37.5 ,30.5 ,58.0 ,21.3 ,51.1 ,80.4 ,87.0 ,14.9 ,27.8 ,85.5 ,82.6 ,103.9 ,36.8 
1958,38.1,75,36.1,115.45,76.9 ,122.8 ,44.0 ,94.9 ,45.0 ,66.2 ,75.0 ,34.7 ,68.1 ,114.1 ,97.6 ,101.0 ,112.1 ,116.8 ,99.4 ,60.5 ,33.4 ,37.5 ,61.8 ,77.0 ,79.3 ,38.3 ,49.0 ,101.9 
1959,74.8,54,31.75,84.7,34.0 ,50.4 ,29.5 ,55.1 ,61.2 ,119.7 ,39.2 ,42.2 ,39.8 ,46.0 ,50.4 ,65.9 ,25.0 ,68.5 ,54.0 ,34.6 ,42.1 ,66.5 ,64.8 ,52.3 ,61.2 ,88.4 ,39.6 ,81.0 
1960,80.6,57,32.1,88.95,40.2 ,91.4 ,46.3 ,74.8 ,52.2 ,47.5 ,46.7 ,61.9 ,50.2 ,71.3 ,64.5 ,60.2 ,56.1 ,31.8 ,113.6 ,25.0 ,41.9 ,70.6 ,76.5 ,86.5 ,70.3 ,40.0 ,32.4 ,35.3 
