Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1950,33.4,74,43.1,107.95,70.0 ,97.3 ,98.3 ,50.1 ,114.1 ,82.3 ,78.2 ,80.8 ,60.9 ,43.0 ,46.6 ,59.1 ,58.2 ,43.2 ,41.3 ,142.2 ,91.5 ,101.8 ,71.1 ,79.4 ,85.1 ,89.0 ,48.4 ,51.8 
1951,42.7,75,41.85,107.7,59.3 ,76.0 ,53.1 ,44.1 ,81.9 ,86.4 ,39.6 ,101.0 ,68.7 ,65.0 ,79.6 ,59.5 ,74.1 ,89.1 ,96.3 ,82.5 ,94.9 ,64.2 ,99.2 ,38.1 ,74.5 ,49.0 ,114.4 ,129.6 
1952,91.2,69,40.2,102.75,103.2 ,42.9 ,59.2 ,45.0 ,76.1 ,51.6 ,61.1 ,108.5 ,72.8 ,74.0 ,94.7 ,91.8 ,23.5 ,53.1 ,56.9 ,70.9 ,88.2 ,91.6 ,50.0 ,40.2 ,40.2 ,77.3 ,102.3 ,98.2 
1953,104.8,74,38.3,110.8,109.3 ,93.4 ,25.6 ,119.2 ,75.6 ,101.8 ,57.2 ,55.2 ,65.2 ,64.2 ,84.3 ,112.3 ,30.2 ,46.4 ,97.8 ,88.6 ,71.0 ,49.1 ,51.8 ,100.4 ,52.0 ,68.6 ,83.0 ,75.8 
1954,31.2,72,20.85,117.75,54.2 ,57.3 ,31.4 ,131.7 ,75.2 ,108.4 ,93.2 ,104.3 ,106.4 ,81.7 ,116.6 ,95.2 ,118.9 ,41.9 ,25.5 ,58.6 ,79.5 ,63.4 ,74.3 ,11.9 ,16.2 ,49.0 ,64.0 ,73.4 
1955,56.8,71,30.05,119.8,70.7 ,76.5 ,26.5 ,66.4 ,55.9 ,46.6 ,116.3 ,62.5 ,104.3 ,68.2 ,84.0 ,108.4 ,95.6 ,56.7 ,35.6 ,81.9 ,125.6 ,40.4 ,72.8 ,40.6 ,123.3 ,18.0 ,33.6 ,97.0 
1956,111.1,65,19.65,100.2,95.3 ,82.5 ,89.3 ,45.3 ,30.4 ,44.8 ,44.7 ,118.7 ,19.4 ,92.4 ,92.3 ,103.5 ,92.1 ,96.9 ,75.1 ,49.7 ,34.8 ,55.2 ,87.3 ,41.0 ,67.8 ,19.9 ,9.1 ,90.7 
1957,79.1,66,38.2,96.45,57.7 ,83.9 ,50.3 ,49.2 ,92.4 ,61.8 ,35.5 ,53.5 ,107.0 ,90.4 ,67.9 ,48.0 ,80.5 ,72.4 ,40.9 ,69.9 ,61.7 ,14.0 ,100.5 ,72.7 ,63.9 ,81.2 ,46.5 ,83.3 
1958,34.3,77,35.1,139.3,28.5 ,65.9 ,44.9 ,155.5 ,58.8 ,36.6 ,76.8 ,70.5 ,42.9 ,123.1 ,99.2 ,58.0 ,181.8 ,65.2 ,104.8 ,106.4 ,63.8 ,33.6 ,63.0 ,98.9 ,68.5 ,91.2 ,65.4 ,55.0 
1959,54,79,43.6,127.3,51.8 ,44.6 ,71.1 ,59.5 ,57.7 ,127.1 ,81.0 ,50.3 ,70.2 ,60.5 ,113.4 ,81.0 ,36.4 ,101.8 ,67.4 ,79.8 ,179.5 ,74.0 ,127.5 ,59.3 ,106.8 ,42.6 ,70.2 ,98.6 
