Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1950,46.2,67,24,115.15,119.1 ,97.6 ,113.6 ,91.9 ,57.2 ,76.3 ,116.7 ,55.0 ,50.8 ,19.8 ,54.3 ,89.8 ,94.1 ,26.2 ,75.2 ,80.3 ,64.2 ,62.4 ,47.7 ,46.0 ,51.8 ,21.8 ,48.1 ,56.7 
1951,112.4,69,29,113.7,43.1 ,89.4 ,45.5 ,116.5 ,76.5 ,40.0 ,83.1 ,99.8 ,71.5 ,24.1 ,110.9 ,39.9 ,42.4 ,86.0 ,29.0 ,33.2 ,38.5 ,79.3 ,78.5 ,104.8 ,85.9 ,149.1 ,77.8 ,29.0 
1952,55.3,62,32.65,92.4,53.1 ,59.4 ,48.1 ,51.1 ,42.2 ,87.4 ,49.2 ,92.0 ,70.9 ,71.4 ,39.4 ,22.0 ,65.9 ,83.1 ,103.6 ,54.5 ,72.6 ,92.8 ,42.5 ,82.3 ,91.4 ,25.9 ,49.3 ,43.6 
1953,56.3,75,29.75,104.15,100.9 ,88.6 ,90.3 ,89.0 ,78.2 ,99.1 ,63.7 ,107.2 ,70.5 ,102.2 ,55.2 ,83.4 ,32.9 ,12.3 ,46.9 ,96.8 ,106.1 ,87.5 ,62.1 ,83.8 ,26.6 ,74.1 ,76.9 ,84.5 
1954,77.5,72,44.15,106.4,84.0 ,75.9 ,31.8 ,77.6 ,78.0 ,57.1 ,97.8 ,50.5 ,54.3 ,68.1 ,48.4 ,85.2 ,49.2 ,102.4 ,58.2 ,53.9 ,95.8 ,54.3 ,84.7 ,124.3 ,45.0 ,107.6 ,43.3 ,105.2 
1955,54.7,64,36.15,111,64.5 ,50.6 ,78.4 ,36.9 ,35.4 ,54.6 ,46.8 ,106.1 ,79.5 ,40.2 ,73.7 ,32.7 ,49.6 ,91.9 ,139.7 ,57.1 ,115.9 ,58.3 ,62.4 ,67.6 ,58.0 ,41.1 ,40.7 ,66.6 
1956,65.1,66,27.9,114.45,46.8 ,27.2 ,116.6 ,28.6 ,77.0 ,80.2 ,47.2 ,71.6 ,57.9 ,112.3 ,43.9 ,45.0 ,92.7 ,85.0 ,71.1 ,40.4 ,62.4 ,52.6 ,76.8 ,48.5 ,149.0 ,10.8 ,67.7 ,81.0 
1957,86.2,66,43.1,88.25,66.3 ,52.3 ,32.2 ,81.4 ,74.7 ,50.3 ,57.8 ,57.5 ,63.7 ,66.6 ,70.9 ,46.5 ,64.7 ,97.1 ,84.0 ,69.7 ,83.0 ,41.5 ,87.7 ,75.2 ,53.1 ,44.7 ,84.8 ,88.8 
1958,29.4,57,19.8,91.6,68.6 ,62.8 ,94.5 ,52.0 ,48.8 ,100.5 ,18.5 ,16.1 ,87.1 ,38.0 ,46.0 ,21.1 ,73.3 ,48.1 ,88.7 ,82.5 ,49.8 ,74.7 ,33.5 ,53.0 ,52.3 ,43.2 ,64.4 ,65.1 
1959,86.8,64,31.8,93.8,42.1 ,97.8 ,28.9 ,43.5 ,78.4 ,69.4 ,78.3 ,66.2 ,55.4 ,75.6 ,81.4 ,57.5 ,43.5 ,77.5 ,97.6 ,83.7 ,18.4 ,44.6 ,70.9 ,63.2 ,90.0 ,69.6 ,67.3 ,34.7 
