Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1950,69.8,70,33.45,119.3,119.9 ,59.0 ,97.5 ,35.9 ,55.7 ,98.1 ,87.1 ,42.6 ,31.0 ,65.5 ,70.7 ,53.2 ,74.6 ,96.1 ,78.8 ,95.3 ,118.7 ,39.2 ,42.0 ,40.4 ,56.2 ,27.3 ,122.8 ,83.5 
1951,60.6,68,32.65,128,48.4 ,83.4 ,62.8 ,74.8 ,136.4 ,13.5 ,37.6 ,77.6 ,78.3 ,47.3 ,83.4 ,132.1 ,69.8 ,49.6 ,48.2 ,111.6 ,27.7 ,57.9 ,54.0 ,60.0 ,45.9 ,51.4 ,123.9 ,58.2 
1952,14,60,20.95,98.3,88.4 ,48.2 ,127.3 ,60.5 ,56.6 ,93.9 ,76.2 ,10.7 ,54.9 ,100.7 ,27.4 ,43.7 ,30.4 ,88.2 ,58.8 ,26.6 ,49.4 ,15.3 ,72.4 ,27.8 ,65.8 ,73.6 ,52.3 ,95.9 
1953,19.2,65,26.1,124.75,35.2 ,61.9 ,78.8 ,39.7 ,62.4 ,73.6 ,62.5 ,43.7 ,27.3 ,147.9 ,33.8 ,78.0 ,70.0 ,70.1 ,80.9 ,24.9 ,86.2 ,64.0 ,68.3 ,13.1 ,101.6 ,53.9 ,51.6 ,150.6 
1954,145.8,60,17.3,102.75,54.0 ,97.8 ,17.0 ,53.3 ,68.8 ,71.0 ,47.4 ,89.1 ,34.3 ,52.5 ,94.9 ,81.3 ,7.8 ,55.2 ,36.9 ,59.3 ,42.1 ,71.1 ,107.7 ,37.6 ,17.6 ,97.1 ,115.6 ,41.3 
1955,151.1,58,27.35,101.2,84.7 ,33.1 ,101.8 ,100.6 ,34.4 ,64.8 ,91.1 ,47.5 ,72.6 ,64.5 ,58.7 ,79.7 ,58.4 ,43.3 ,61.2 ,42.1 ,30.3 ,49.8 ,45.1 ,24.2 ,29.4 ,25.3 ,45.0 ,104.0 
1956,31.3,67,26.6,113.4,123.3 ,47.8 ,38.0 ,87.7 ,86.1 ,43.2 ,40.8 ,103.5 ,46.3 ,73.2 ,91.1 ,61.0 ,189.2 ,17.8 ,78.1 ,47.1 ,28.4 ,24.8 ,89.0 ,57.4 ,52.6 ,86.6 ,70.5 ,44.6 
1957,48.5,57,12.85,102.5,45.3 ,107.4 ,51.9 ,97.6 ,113.7 ,52.7 ,23.7 ,37.9 ,39.7 ,53.2 ,30.0 ,62.8 ,13.4 ,59.5 ,25.9 ,83.6 ,72.1 ,88.2 ,75.3 ,11.6 ,67.9 ,71.6 ,86.0 ,12.3 
1958,34.9,64,26.5,102.2,96.4 ,36.4 ,74.8 ,69.7 ,35.7 ,19.2 ,71.0 ,56.2 ,101.4 ,72.1 ,65.1 ,60.3 ,84.5 ,25.5 ,27.5 ,48.2 ,75.4 ,106.5 ,40.3 ,86.1 ,57.9 ,74.3 ,51.6 ,103.0 
1959,94.1,82,32.3,129.45,78.3 ,39.2 ,98.7 ,131.5 ,93.2 ,118.4 ,32.6 ,76.2 ,78.2 ,76.8 ,103.2 ,130.7 ,95.4 ,72.0 ,75.3 ,63.5 ,128.2 ,32.0 ,105.9 ,23.3 ,72.1 ,125.5 ,50.2 ,80.8 
1960,57.1,78,39.1,144.3,60.7 ,132.8 ,173.6 ,40.5 ,73.9 ,98.5 ,92.5 ,93.7 ,76.4 ,37.7 ,155.8 ,86.3 ,66.6 ,80.2 ,71.8 ,41.2 ,63.0 ,104.0 ,42.6 ,53.0 ,23.1 ,55.1 ,90.7 ,76.5 
1961,13.3,73,29.9,153,159.8 ,146.2 ,42.9 ,166.0 ,44.8 ,56.4 ,62.9 ,11.2 ,39.1 ,72.8 ,57.6 ,30.0 ,97.9 ,46.0 ,35.2 ,88.5 ,123.9 ,86.6 ,96.5 ,46.9 ,31.6 ,29.8 ,100.8 ,77.4 
1962,95.4,59,26.85,104.5,57.9 ,15.9 ,41.8 ,59.8 ,75.3 ,40.2 ,31.8 ,42.2 ,53.4 ,74.3 ,55.7 ,34.5 ,125.2 ,37.1 ,68.4 ,104.6 ,48.5 ,93.8 ,58.6 ,21.9 ,39.2 ,43.3 ,104.4 ,96.1 
