Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1950,47.5,65,35.45,115.9,33.8 ,39.7 ,64.7 ,54.9 ,58.9 ,116.6 ,67.1 ,92.7 ,39.7 ,45.8 ,57.8 ,44.2 ,116.4 ,71.4 ,81.2 ,72.7 ,76.6 ,115.4 ,13.4 ,41.9 ,37.1 ,95.5 ,84.3 ,58.6 
1951,69.9,73,26.25,130.05,37.6 ,54.9 ,113.2 ,99.0 ,78.2 ,68.7 ,44.3 ,108.2 ,26.1 ,28.5 ,88.0 ,67.3 ,67.0 ,105.0 ,70.2 ,26.4 ,51.4 ,100.8 ,146.9 ,45.2 ,47.9 ,23.1 ,182.1 ,79.5 
1952,26.4,66,21.45,114.7,88.3 ,80.3 ,92.2 ,113.2 ,64.3 ,110.4 ,42.4 ,34.0 ,43.1 ,72.7 ,47.3 ,61.6 ,32.7 ,90.0 ,17.5 ,116.2 ,70.1 ,19.7 ,23.2 ,118.0 ,71.1 ,27.2 ,109.6 ,45.6 
1953,51.2,66,29.4,109.55,64.1 ,23.8 ,34.6 ,74.9 ,65.4 ,33.9 ,69.1 ,109.8 ,53.4 ,49.1 ,101.3 ,93.3 ,50.6 ,40.3 ,57.4 ,69.2 ,69.8 ,103.2 ,64.6 ,24.9 ,138.6 ,109.3 ,50.2 ,53.4 
1954,68.4,64,20.45,116.2,41.8 ,77.3 ,80.8 ,12.5 ,67.7 ,120.3 ,28.5 ,12.0 ,112.1 ,59.1 ,38.0 ,142.7 ,48.7 ,71.0 ,40.0 ,28.4 ,93.4 ,50.3 ,30.5 ,84.5 ,98.7 ,79.1 ,36.3 ,84.2 
1955,31.9,65,30.35,91.35,46.2 ,77.3 ,31.2 ,81.3 ,52.7 ,74.5 ,29.5 ,90.3 ,59.7 ,71.0 ,86.0 ,65.2 ,57.2 ,86.2 ,46.0 ,29.4 ,95.7 ,70.1 ,54.3 ,39.5 ,79.4 ,92.4 ,89.2 ,69.9 
1956,38.9,65,32.8,114.7,48.2 ,91.2 ,57.9 ,121.8 ,46.5 ,107.9 ,78.4 ,98.0 ,31.0 ,121.5 ,49.3 ,45.6 ,54.6 ,50.5 ,70.1 ,37.2 ,48.0 ,73.9 ,72.4 ,25.8 ,90.1 ,73.8 ,34.6 ,48.9 
1957,94,64,28.15,111.85,78.2 ,33.4 ,98.5 ,38.1 ,102.7 ,23.6 ,64.7 ,48.2 ,88.7 ,54.3 ,86.6 ,33.3 ,106.3 ,41.9 ,116.9 ,37.9 ,36.5 ,31.4 ,63.3 ,106.8 ,32.2 ,74.1 ,118.8 ,24.9 
1958,48.7,62,25.6,91.6,91.0 ,22.7 ,59.0 ,71.7 ,60.0 ,130.6 ,64.7 ,22.7 ,52.2 ,34.3 ,53.0 ,70.3 ,89.1 ,62.0 ,48.8 ,83.6 ,62.8 ,49.8 ,74.4 ,47.6 ,78.7 ,92.2 ,28.5 ,39.7 
1959,26.8,62,29.7,120,24.3 ,55.1 ,39.3 ,41.4 ,120.7 ,35.1 ,37.3 ,36.7 ,65.2 ,47.7 ,105.8 ,43.6 ,64.6 ,21.9 ,72.1 ,40.1 ,119.3 ,116.4 ,64.3 ,55.9 ,131.9 ,47.7 ,56.1 ,56.1 
