Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1950,80.9,80,25.35,143.55,55.2 ,79.3 ,71.0 ,101.8 ,55.8 ,24.3 ,68.2 ,82.4 ,12.2 ,107.7 ,68.8 ,95.5 ,110.0 ,37.7 ,84.5 ,171.4 ,67.7 ,115.7 ,102.8 ,71.8 ,62.7 ,26.4 ,76.2 ,173.7 
1951,51.1,79,29.35,141.05,140.2 ,65.4 ,72.5 ,141.9 ,82.2 ,112.2 ,59.0 ,87.5 ,67.0 ,143.9 ,27.6 ,84.0 ,34.0 ,123.3 ,86.7 ,59.8 ,9.3 ,68.3 ,91.8 ,49.0 ,31.1 ,66.9 ,85.8 ,114.7 
1952,77.2,78,35.55,137,99.9 ,90.3 ,96.0 ,41.3 ,41.3 ,54.5 ,96.1 ,108.2 ,129.1 ,152.4 ,90.4 ,89.6 ,42.2 ,144.0 ,130.0 ,32.4 ,38.7 ,66.3 ,77.0 ,43.8 ,81.9 ,70.5 ,9.9 ,50.6 
1953,56.2,83,30.15,161.75,106.9 ,88.4 ,65.7 ,88.5 ,79.4 ,42.4 ,58.3 ,72.4 ,65.9 ,64.3 ,66.7 ,134.1 ,120.6 ,124.4 ,38.7 ,21.6 ,51.2 ,16.5 ,57.3 ,210.4 ,101.8 ,97.5 ,41.0 ,189.4 
1954,104,74,24.8,165,150.1 ,32.8 ,181.5 ,47.9 ,60.4 ,53.4 ,34.9 ,86.3 ,95.2 ,39.1 ,72.6 ,49.7 ,86.5 ,78.3 ,37.2 ,179.9 ,98.1 ,65.4 ,74.7 ,16.6 ,102.9 ,20.7 ,98.4 ,28.9 
1955,126.7,78,52.6,104.75,103.4 ,99.8 ,63.0 ,94.3 ,69.8 ,94.6 ,106.1 ,54.4 ,75.3 ,88.1 ,79.7 ,65.3 ,84.2 ,52.4 ,97.3 ,53.6 ,57.6 ,70.0 ,58.6 ,146.0 ,72.1 ,49.3 ,52.8 ,90.8 
1956,139.6,88,47.15,135.55,56.4 ,135.2 ,106.3 ,135.7 ,46.6 ,91.2 ,86.7 ,52.5 ,60.6 ,85.2 ,91.9 ,47.7 ,103.3 ,92.9 ,38.7 ,75.2 ,184.5 ,66.0 ,74.8 ,110.4 ,85.8 ,135.4 ,82.9 ,87.3 
1957,31.8,81,29.85,138.3,116.1 ,82.7 ,52.4 ,109.4 ,77.1 ,140.0 ,66.1 ,175.2 ,29.8 ,50.1 ,103.2 ,136.6 ,29.9 ,129.6 ,104.6 ,110.6 ,104.5 ,4.0 ,49.3 ,51.6 ,44.0 ,61.0 ,53.5 ,74.8 
1958,79.7,75,35.3,134.8,55.9 ,74.4 ,36.3 ,96.0 ,88.5 ,30.9 ,120.0 ,43.5 ,149.6 ,110.4 ,62.1 ,56.1 ,60.2 ,37.9 ,47.4 ,66.3 ,159.1 ,61.1 ,90.4 ,97.4 ,80.5 ,34.3 ,98.0 ,63.3 
1959,43.8,82,50.2,146.1,106.3 ,101.0 ,61.8 ,75.1 ,91.1 ,184.6 ,90.6 ,144.7 ,47.3 ,76.0 ,58.3 ,58.9 ,96.9 ,66.2 ,73.8 ,83.3 ,53.1 ,73.0 ,147.5 ,66.2 ,34.4 ,54.6 ,56.9 ,83.8 
