Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1950,66.8,65,35.4,98.6,42.1 ,96.9 ,86.7 ,39.3 ,73.2 ,55.0 ,66.5 ,60.6 ,33.6 ,93.9 ,86.5 ,24.1 ,40.6 ,58.0 ,60.3 ,79.4 ,37.2 ,61.1 ,71.3 ,106.8 ,60.4 ,100.3 ,56.4 ,75.1 
1951,109.3,49,18.95,85.55,47.9 ,35.1 ,72.0 ,14.5 ,22.7 ,38.0 ,38.3 ,20.7 ,89.0 ,17.2 ,39.7 ,77.0 ,70.7 ,66.1 ,21.2 ,41.2 ,64.0 ,60.1 ,99.7 ,39.6 ,48.4 ,82.1 ,49.1 ,28.9 
1952,73.3,67,35.75,98.2,88.9 ,66.7 ,78.2 ,98.8 ,97.6 ,55.8 ,139.4 ,35.1 ,72.2 ,83.7 ,33.0 ,49.5 ,60.5 ,41.9 ,71.3 ,71.2 ,53.7 ,61.7 ,69.7 ,36.4 ,66.0 ,84.2 ,57.6 ,46.3 
1953,88.5,57,28.2,90.55,75.8 ,66.2 ,46.7 ,89.6 ,97.0 ,71.5 ,91.5 ,67.2 ,31.1 ,35.0 ,39.8 ,23.6 ,46.7 ,71.7 ,55.8 ,25.3 ,46.5 ,53.9 ,71.4 ,60.8 ,51.9 ,45.4 ,54.2 ,71.7 
1954,73.6,68,30.05,107.8,76.3 ,144.2 ,79.2 ,19.0 ,31.1 ,80.2 ,85.4 ,31.2 ,71.9 ,59.3 ,60.4 ,69.7 ,41.5 ,55.9 ,29.6 ,87.9 ,63.4 ,30.5 ,70.5 ,103.1 ,105.9 ,50.1 ,78.6 ,109.7 
1955,74.8,58,29.15,102.65,42.5 ,24.4 ,102.7 ,50.2 ,43.8 ,82.5 ,52.2 ,74.0 ,35.7 ,55.4 ,42.9 ,56.4 ,53.2 ,69.0 ,38.6 ,102.6 ,73.3 ,28.5 ,42.3 ,134.4 ,62.3 ,77.4 ,29.8 ,31.9 
1956,74.3,54,25.3,86.1,32.9 ,31.4 ,83.1 ,53.5 ,84.8 ,53.7 ,57.5 ,47.8 ,31.8 ,51.2 ,35.1 ,104.5 ,18.8 ,50.7 ,66.1 ,33.0 ,39.8 ,66.3 ,49.9 ,19.2 ,87.4 ,74.4 ,50.1 ,84.2 
1957,33.8,55,12.2,92.25,96.6 ,55.3 ,56.9 ,74.5 ,36.3 ,40.1 ,21.9 ,77.6 ,97.5 ,65.6 ,66.9 ,63.3 ,67.1 ,8.0 ,8.5 ,28.7 ,87.9 ,59.6 ,15.9 ,72.1 ,79.8 ,76.5 ,30.1 ,48.3 
1958,14.9,51,17.2,80.15,57.9 ,57.8 ,17.5 ,41.7 ,71.8 ,54.2 ,50.3 ,16.9 ,13.8 ,56.6 ,92.1 ,24.3 ,55.7 ,42.5 ,87.6 ,66.4 ,58.7 ,62.2 ,61.8 ,26.8 ,56.6 ,35.9 ,61.0 ,72.7 
1959,68.7,60,27.7,91.85,29.7 ,73.2 ,68.0 ,45.3 ,96.3 ,36.6 ,103.6 ,77.3 ,41.6 ,44.6 ,61.4 ,55.3 ,69.6 ,84.8 ,75.2 ,15.5 ,75.7 ,61.5 ,47.2 ,56.2 ,25.7 ,87.4 ,65.2 ,44.8 
1960,45.2,44,18.8,75.85,40.8 ,19.4 ,75.6 ,19.9 ,32.3 ,65.9 ,77.2 ,18.2 ,16.5 ,32.1 ,50.2 ,49.4 ,49.0 ,66.9 ,35.9 ,53.1 ,64.3 ,45.5 ,76.1 ,33.2 ,22.5 ,28.7 ,45.6 ,39.3 
1961,57.8,60,25.75,93.85,85.5 ,109.9 ,83.4 ,31.2 ,68.7 ,89.7 ,56.1 ,91.8 ,88.3 ,70.2 ,10.4 ,65.1 ,56.4 ,95.9 ,26.7 ,38.4 ,36.5 ,35.6 ,71.1 ,56.3 ,70.0 ,50.2 ,32.1 ,24.8 
