Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1950,80.9,63,30.3,112.45,32.8 ,29.4 ,45.6 ,46.3 ,36.5 ,54.6 ,95.2 ,46.1 ,57.7 ,97.6 ,82.6 ,96.9 ,77.0 ,76.9 ,45.4 ,131.7 ,127.3 ,26.9 ,31.4 ,31.2 ,70.1 ,58.6 ,48.4 ,74.0 
1951,104.2,55,27.9,94.75,32.3 ,34.7 ,94.6 ,72.1 ,36.7 ,52.9 ,45.1 ,38.3 ,26.8 ,101.7 ,61.4 ,67.7 ,60.8 ,8.3 ,88.7 ,52.2 ,32.1 ,94.9 ,49.0 ,37.4 ,67.8 ,29.0 ,52.7 ,82.6 
1952,59.3,70,41.6,112.7,31.4 ,101.0 ,121.0 ,42.6 ,50.8 ,64.6 ,47.9 ,73.2 ,95.6 ,133.4 ,69.8 ,43.2 ,57.3 ,104.4 ,68.2 ,40.6 ,93.7 ,78.5 ,47.3 ,93.6 ,48.8 ,57.0 ,50.6 ,86.0 
1953,45.4,63,22.65,127.85,76.0 ,83.6 ,41.4 ,55.8 ,111.1 ,58.3 ,81.2 ,136.7 ,34.9 ,120.6 ,135.1 ,54.8 ,20.3 ,48.4 ,81.9 ,10.8 ,25.0 ,27.3 ,33.2 ,31.6 ,51.3 ,75.9 ,39.1 ,93.5 
1954,20.3,80,32.1,152.3,100.1 ,60.1 ,198.6 ,87.9 ,77.2 ,38.4 ,37.6 ,59.7 ,71.4 ,102.7 ,60.8 ,29.0 ,32.4 ,168.5 ,136.1 ,38.0 ,135.4 ,83.8 ,96.8 ,75.7 ,59.7 ,68.2 ,86.1 ,31.8 
1955,38.1,70,27.2,126.85,63.7 ,58.8 ,27.4 ,25.6 ,27.0 ,50.5 ,86.1 ,102.2 ,54.7 ,50.1 ,85.9 ,61.2 ,56.4 ,101.8 ,145.3 ,73.1 ,53.8 ,122.3 ,46.6 ,81.6 ,34.6 ,69.7 ,79.9 ,131.4 
1956,67.4,60,27.4,106.9,47.5 ,91.6 ,25.9 ,43.9 ,106.0 ,25.7 ,43.1 ,66.4 ,48.1 ,36.7 ,61.0 ,53.4 ,78.1 ,39.6 ,50.1 ,68.6 ,67.9 ,112.4 ,74.4 ,28.9 ,75.4 ,107.8 ,42.4 ,66.2 
1957,44,63,25.5,113.25,55.2 ,63.4 ,49.7 ,43.7 ,102.2 ,125.1 ,82.4 ,61.2 ,48.0 ,74.3 ,27.2 ,46.1 ,98.7 ,27.1 ,57.1 ,77.7 ,85.4 ,23.9 ,85.5 ,44.9 ,20.9 ,124.3 ,52.1 ,45.7 
1958,62.3,72,34,136.9,97.4 ,42.7 ,70.7 ,166.6 ,51.8 ,77.2 ,31.0 ,55.2 ,92.8 ,98.4 ,54.5 ,79.9 ,147.3 ,37.0 ,74.9 ,85.3 ,52.2 ,69.5 ,50.6 ,46.6 ,126.5 ,40.9 ,71.5 ,29.3 
1959,35.3,58,27.05,100.8,52.0 ,38.6 ,32.4 ,35.3 ,47.8 ,54.1 ,50.8 ,80.4 ,100.4 ,63.4 ,44.0 ,34.2 ,21.7 ,68.4 ,54.0 ,54.9 ,20.4 ,52.6 ,101.2 ,67.8 ,77.7 ,102.9 ,57.0 ,97.0 
