Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1950,89.4,55,24.3,113.2,62.7 ,57.8 ,122.4 ,22.3 ,68.2 ,29.7 ,45.9 ,40.5 ,27.8 ,71.6 ,55.3 ,62.2 ,5.8 ,33.7 ,26.3 ,52.0 ,104.0 ,51.7 ,50.3 ,54.9 ,37.6 ,68.7 ,126.2 ,47.3 
1951,56.4,65,37.75,119.6,50.0 ,113.9 ,125.3 ,37.0 ,65.7 ,39.9 ,34.3 ,76.8 ,42.6 ,98.1 ,73.3 ,67.7 ,39.2 ,40.4 ,48.6 ,70.7 ,38.5 ,143.1 ,83.1 ,46.8 ,80.0 ,60.1 ,45.9 ,49.1 
1952,45,45,20.95,83.7,22.0 ,42.8 ,55.2 ,39.1 ,24.5 ,49.0 ,67.0 ,58.7 ,13.8 ,64.4 ,23.0 ,26.9 ,51.7 ,91.5 ,24.3 ,23.5 ,86.5 ,32.0 ,28.9 ,54.3 ,45.0 ,59.8 ,19.9 ,80.9 
1953,39.3,53,23.9,90,60.0 ,29.3 ,68.2 ,30.3 ,61.7 ,60.0 ,40.4 ,106.4 ,79.6 ,77.6 ,35.8 ,54.1 ,67.9 ,50.3 ,59.6 ,31.6 ,41.3 ,56.4 ,100.4 ,51.5 ,53.5 ,9.4 ,40.9 ,18.5 
1954,77.3,52,21.8,91.15,27.3 ,57.8 ,88.9 ,31.2 ,33.5 ,19.5 ,64.5 ,75.3 ,22.3 ,68.2 ,65.0 ,73.6 ,60.9 ,21.4 ,94.5 ,22.2 ,42.5 ,71.3 ,53.4 ,31.8 ,66.6 ,93.4 ,39.8 ,37.6 
1955,52.2,42,27.05,71.65,29.2 ,25.8 ,44.6 ,30.8 ,57.9 ,34.2 ,44.0 ,30.7 ,48.0 ,32.7 ,37.4 ,48.7 ,41.3 ,37.2 ,31.2 ,44.4 ,28.3 ,55.4 ,45.2 ,85.4 ,22.9 ,90.6 ,51.6 ,30.4 
1956,53.6,51,27.25,86.2,18.6 ,37.6 ,69.9 ,37.8 ,58.0 ,72.9 ,28.8 ,57.0 ,28.2 ,35.9 ,28.4 ,37.5 ,75.9 ,103.0 ,63.2 ,61.9 ,40.0 ,71.4 ,96.5 ,43.4 ,41.2 ,61.1 ,26.3 ,37.7 
1957,60.3,46,18.15,73.55,30.4 ,45.1 ,66.1 ,11.4 ,26.9 ,73.6 ,54.9 ,73.5 ,16.7 ,19.6 ,65.3 ,35.8 ,62.0 ,60.8 ,47.1 ,32.6 ,70.1 ,20.9 ,38.2 ,51.6 ,37.2 ,40.9 ,81.4 ,56.5 
1958,51,51,20.25,83.15,47.6 ,41.9 ,74.4 ,55.6 ,34.6 ,68.5 ,37.7 ,84.6 ,20.8 ,34.8 ,68.9 ,81.7 ,21.3 ,40.5 ,19.7 ,43.4 ,50.8 ,95.7 ,18.6 ,74.3 ,46.3 ,66.9 ,76.0 ,38.1 
1959,80.8,47,19.45,81.85,39.8 ,29.6 ,54.6 ,46.4 ,49.6 ,69.8 ,45.2 ,79.8 ,61.5 ,10.3 ,18.9 ,21.8 ,46.0 ,43.6 ,26.7 ,35.3 ,62.6 ,51.7 ,45.8 ,78.1 ,20.0 ,101.2 ,25.9 ,83.9 
