Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1950,29.2,72,32.5,125.1,50.5 ,54.1 ,51.3 ,63.1 ,74.6 ,58.5 ,60.2 ,130.1 ,37.8 ,123.5 ,103.6 ,57.4 ,73.7 ,110.4 ,27.2 ,116.3 ,106.9 ,63.1 ,79.5 ,23.9 ,66.0 ,43.4 ,126.7 ,46.5 
1951,48.9,85,21.9,160.1,74.3 ,64.6 ,242.6 ,110.5 ,73.2 ,148.1 ,105.4 ,169.2 ,20.3 ,94.5 ,54.9 ,52.1 ,55.1 ,52.2 ,50.6 ,72.0 ,59.9 ,85.2 ,65.9 ,19.3 ,151.0 ,23.5 ,141.8 ,75.7 
1952,57,75,20.45,127.65,72.9 ,124.0 ,82.0 ,109.2 ,90.2 ,5.1 ,109.3 ,109.7 ,99.4 ,23.3 ,35.1 ,120.6 ,182.3 ,50.1 ,58.2 ,67.8 ,87.1 ,27.9 ,87.8 ,35.3 ,44.1 ,29.8 ,17.6 ,131.3 
1953,94.1,67,26.25,111.85,46.3 ,71.5 ,59.5 ,49.0 ,82.9 ,26.6 ,89.0 ,28.2 ,112.0 ,48.4 ,35.3 ,98.8 ,61.9 ,59.2 ,64.8 ,111.7 ,90.0 ,107.5 ,25.9 ,114.3 ,72.5 ,16.4 ,74.5 ,62.5 
1954,69.5,74,24.6,138.5,34.4 ,93.5 ,80.3 ,105.1 ,133.8 ,59.0 ,111.5 ,47.0 ,83.5 ,58.1 ,123.3 ,56.7 ,42.8 ,97.1 ,95.9 ,69.7 ,37.3 ,143.2 ,38.0 ,51.8 ,143.9 ,14.8 ,62.2 ,4.7 
1955,45.5,79,31.05,148.05,48.5 ,45.6 ,104.3 ,102.1 ,118.7 ,61.0 ,21.5 ,84.4 ,73.8 ,76.3 ,77.9 ,66.5 ,52.7 ,185.8 ,111.4 ,44.4 ,40.6 ,88.5 ,76.6 ,146.5 ,59.0 ,149.6 ,56.5 ,11.4 
1956,39.2,64,22.45,103.45,56.5 ,142.4 ,28.4 ,46.2 ,44.9 ,65.8 ,16.9 ,55.7 ,38.6 ,26.8 ,61.8 ,38.8 ,104.0 ,74.9 ,99.5 ,61.8 ,83.3 ,102.9 ,59.2 ,98.6 ,62.0 ,71.9 ,81.0 ,18.1 
1957,103.7,66,27.8,104.2,54.2 ,56.8 ,43.6 ,71.2 ,87.1 ,53.1 ,32.6 ,21.2 ,34.1 ,79.8 ,109.3 ,84.7 ,54.6 ,23.0 ,103.8 ,37.1 ,79.6 ,60.0 ,79.3 ,103.8 ,83.7 ,104.6 ,66.6 ,63.0 
1958,99.1,82,20.5,181.9,70.9 ,156.0 ,57.7 ,58.7 ,76.9 ,77.7 ,53.8 ,7.1 ,91.9 ,51.5 ,71.9 ,66.1 ,67.1 ,40.5 ,106.5 ,220.8 ,207.8 ,131.6 ,87.0 ,11.0 ,136.4 ,54.8 ,30.0 ,33.5 
1959,65.7,83,39.6,141.55,84.0 ,126.0 ,22.7 ,159.7 ,91.6 ,102.3 ,96.7 ,149.1 ,79.5 ,103.0 ,49.8 ,80.6 ,68.5 ,89.0 ,97.7 ,72.4 ,52.5 ,61.9 ,63.8 ,37.4 ,73.6 ,134.0 ,54.6 ,41.8 
