\\Hourly Zonal Demand Report,,,,,,,,,,,,,,
\\Created at 2022-01-31 08:01:12,,,,,,,,,,,,,,
\\For 2021,,,,,,,,,,,,,,
Date,Hour,Ontario Demand,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West,Zone Total,Diff
2021-01-01,1,14112,560,1256,914,871,4869,957,156,2599,402,1488,14071,-41
2021-01-01,2,13504,551,1250,878,834,4666,906,153,2517,388,1449,13592,88
2021-01-01,3,13155,549,1252,850,816,4518,868,151,2421,373,1423,13222,68
2021-01-01,4,12892,546,1227,831,807,4417,853,137,2374,364,1407,12963,71
2021-01-01,5,12798,534,1232,839,812,4372,856,102,2434,361,1404,12946,148
2021-01-01,6,12891,531,1218,859,824,4395,877,101,2471,364,1448,13089,198
2021-01-01,7,13188,544,1149,888,845,4478,911,102,2524,372,1530,13342,155
2021-01-01,8,13570,558,1139,914,882,4571,945,107,2579,387,1600,13681,111
2021-01-01,9,13820,592,1170,925,908,4637,976,111,2619,400,1611,13950,130
2021-01-01,10,14249,611,1207,963,916,4784,1019,111,2681,419,1633,14343,95
2021-01-01,11,14514,617,1229,989,884,4948,1042,112,2757,438,1649,14665,151
2021-01-01,12,14895,622,1226,1015,913,5148,1035,115,2816,452,1684,15026,131
2021-01-01,13,14959,622,1210,1035,946,5249,1030,114,2772,467,1695,15140,180
2021-01-01,14,15117,624,1193,1038,959,5305,1032,112,2821,468,1717,15269,152
2021-01-01,15,15391,593,1206,1036,997,5330,1058,109,2847,476,1781,15433,43
2021-01-01,16,15928,589,1234,1055,1048,5418,1104,113,2851,481,1791,15685,-244
2021-01-01,17,16544,594,1283,1141,1137,5660,1184,114,3079,504,1786,16482,-62
2021-01-01,18,17120,606,1311,1205,1188,5965,1274,113,3220,522,1814,17217,97
2021-01-01,19,16774,603,1293,1161,1150,5943,1230,108,3193,505,1713,16900,125
2021-01-01,20,16385,594,1302,1113,1104,5818,1184,106,3141,487,1659,16507,123
2021-01-01,21,16206,590,1365,1086,1091,5691,1152,109,3089,469,1633,16276,70
2021-01-01,22,15888,587,1368,1050,1066,5508,1108,108,2989,459,1584,15827,-61
2021-01-01,23,15269,581,1301,995,994,5257,1039,104,2856,433,1523,15084,-185
2021-01-01,24,14476,562,1314,947,919,5001,966,100,2711,409,1456,14386,-90
2021-01-02,1,13827,542,1264,889,849,4765,904,98,2614,390,1425,13739,-88
2021-01-02,2,13453,537,1257,858,825,4595,874,98,2550,378,1395,13366,-87
2021-01-02,3,13177,537,1227,840,812,4471,869,102,2509,372,1378,13117,-60
2021-01-02,4,13145,538,1202,833,821,4402,868,100,2546,373,1386,13070,-75
2021-01-02,5,13192,539,1208,837,833,4411,872,100,2511,363,1401,13074,-118
2021-01-02,6,13140,546,1157,844,878,4458,871,100,2518,375,1430,13178,38
2021-01-02,7,13477,556,1148,891,893,4573,896,102,2574,385,1535,13551,74
2021-01-02,8,14173,569,1175,927,900,4712,952,106,2698,411,1644,14094,-79
2021-01-02,9,14661,591,1200,957,984,4825,1009,109,2765,434,1701,14575,-86
2021-01-02,10,15127,603,1200,1008,1019,5038,1059,112,2861,453,1768,15122,-5
2021-01-02,11,15466,613,1222,998,1027,5219,1079,117,3004,460,1796,15535,70
2021-01-02,12,15805,626,1242,1013,1003,5387,1077,116,3107,468,1753,15794,-11
2021-01-02,13,15849,631,1251,999,947,5538,1072,114,3152,477,1730,15910,61
2021-01-02,14,15914,622,1233,984,913,5610,1080,112,3140,485,1775,15954,40
2021-01-02,15,16003,612,1245,975,928,5591,1090,111,3125,491,1819,15989,-15
2021-01-02,16,16178,595,1257,1016,976,5593,1112,113,3146,495,1850,16153,-26
2021-01-02,17,16800,595,1320,1114,1124,5745,1194,117,3227,518,1902,16857,57
2021-01-02,18,17860,621,1343,1215,1231,6121,1323,121,3446,550,1955,17925,65
2021-01-02,19,17594,628,1324,1180,1197,6110,1297,119,3411,529,1861,17655,62
2021-01-02,20,16914,646,1299,1136,1148,5939,1240,117,3272,504,1782,17084,170
2021-01-02,21,16387,641,1274,1092,1097,5742,1181,112,3137,484,1724,16485,98
2021-01-02,22,15752,622,1246,1046,1034,5537,1122,110,3059,468,1660,15905,153
2021-01-02,23,15083,620,1248,985,973,5289,1040,109,2911,442,1550,15167,84
2021-01-02,24,14236,604,1253,928,918,5012,961,105,2727,413,1450,14371,135
2021-01-03,1,13620,583,1235,882,872,4750,894,101,2632,386,1430,13765,145
2021-01-03,2,13214,581,1228,851,836,4566,851,98,2561,377,1415,13365,151
2021-01-03,3,12962,568,1216,822,841,4431,827,98,2518,367,1407,13094,132
2021-01-03,4,12834,563,1218,813,841,4356,819,99,2480,366,1397,12951,117
2021-01-03,5,12802,562,1210,811,836,4330,826,100,2485,365,1406,12932,130
2021-01-03,6,13025,557,1191,834,863,4367,843,100,2541,375,1450,13121,96
2021-01-03,7,13440,562,1140,874,892,4469,877,105,2602,387,1544,13451,11
2021-01-03,8,14038,570,1137,905,946,4614,936,110,2749,410,1640,14017,-21
2021-01-03,9,14596,581,1168,931,986,4775,993,112,2882,431,1693,14553,-43
2021-01-03,10,15130,593,1203,969,1022,5011,1055,113,2984,451,1752,15152,22
2021-01-03,11,15759,598,1224,1014,1054,5320,1105,116,3096,478,1800,15805,45
2021-01-03,12,16215,587,1226,1044,1066,5573,1134,117,3148,491,1809,16195,-20
2021-01-03,13,16448,548,1243,1061,1077,5721,1156,117,3223,496,1809,16451,3
2021-01-03,14,16366,526,1223,1058,1081,5745,1155,116,3173,497,1809,16382,16
2021-01-03,15,16296,513,1229,1062,1107,5721,1144,114,3149,501,1837,16376,80
2021-01-03,16,16459,509,1226,1085,1165,5741,1152,115,3132,504,1874,16503,44
2021-01-03,17,17056,504,1320,1168,1215,5928,1222,119,3226,527,1927,17155,99
2021-01-03,18,18098,537,1338,1246,1284,6305,1337,122,3456,560,1979,18162,64
2021-01-03,19,17672,529,1308,1209,1243,6282,1287,121,3390,545,1881,17794,122
2021-01-03,20,17082,503,1275,1158,1219,6102,1224,116,3297,544,1807,17246,164
2021-01-03,21,16536,497,1257,1121,1159,5877,1160,115,3226,510,1753,16675,139
2021-01-03,22,15956,500,1283,1066,1150,5619,1092,110,3103,508,1678,16108,152
2021-01-03,23,15196,491,1267,1005,1093,5336,1007,108,2997,459,1578,15341,146
2021-01-03,24,14424,532,1224,928,986,5026,925,103,2839,452,1490,14506,82
2021-01-04,1,13765,558,1196,879,900,4800,871,101,2723,421,1462,13910,146
2021-01-04,2,13538,559,1146,837,876,4643,838,100,2655,412,1465,13531,-7
2021-01-04,3,13199,554,1142,817,875,4532,821,99,2633,413,1460,13345,147
2021-01-04,4,13121,548,1135,805,875,4493,819,98,2624,414,1460,13271,150
2021-01-04,5,13231,546,1130,825,875,4538,832,99,2633,413,1479,13370,139
2021-01-04,6,13757,542,1133,881,917,4759,878,101,2784,426,1545,13966,209
2021-01-04,7,14922,557,1116,973,983,5137,961,105,3003,436,1695,14963,41
2021-01-04,8,16075,510,1160,1061,1062,5630,1060,110,3274,471,1843,16181,105
2021-01-04,9,16877,543,1187,1121,1113,6018,1122,114,3394,500,1921,17034,157
2021-01-04,10,17157,548,1190,1133,1105,6152,1142,114,3409,509,1950,17252,95
2021-01-04,11,17333,544,1199,1139,1088,6288,1148,111,3497,522,1973,17509,176
2021-01-04,12,17608,536,1205,1153,1081,6468,1157,103,3562,528,1965,17758,150
2021-01-04,13,17736,523,1216,1155,1073,6525,1162,100,3555,527,1962,17798,62
2021-01-04,14,17664,514,1203,1149,1066,6508,1152,109,3543,524,1949,17717,53
2021-01-04,15,17535,509,1218,1146,1071,6434,1148,110,3523,521,1960,17640,106
2021-01-04,16,17767,525,1255,1159,1116,6436,1160,111,3549,524,1977,17813,46
2021-01-04,17,18272,574,1276,1229,1196,6586,1223,116,3624,549,1997,18370,98
2021-01-04,18,19160,588,1321,1303,1274,6823,1329,120,3795,570,2045,19168,8
2021-01-04,19,18652,590,1306,1256,1227,6707,1292,117,3703,555,1957,18711,59
2021-01-04,20,18161,593,1288,1210,1175,6495,1244,113,3567,562,1894,18139,-22
2021-01-04,21,17319,590,1270,1162,1122,6240,1190,110,3488,515,1847,17532,213
2021-01-04,22,16617,598,1250,1107,1066,5981,1119,106,3400,493,1790,16908,291
2021-01-04,23,15890,605,1196,1036,989,5644,1028,104,3218,491,1672,15983,94
2021-01-04,24,14902,566,1138,951,937,5297,942,101,3008,449,1550,14938,35
2021-01-05,1,14278,542,1197,915,916,5000,889,100,2863,421,1505,14347,68
2021-01-05,2,13901,531,1175,873,886,4794,850,98,2762,429,1504,13902,1
2021-01-05,3,13538,543,1165,867,848,4700,832,98,2789,392,1493,13728,190
2021-01-05,4,13530,558,1165,852,834,4675,828,99,2744,417,1493,13665,135
2021-01-05,5,13634,559,1157,879,847,4712,845,101,2763,412,1515,13791,158
2021-01-05,6,14237,554,1085,926,883,4904,892,104,2886,431,1578,14243,7
2021-01-05,7,15241,574,1130,1017,960,5286,971,107,3039,440,1726,15250,9
2021-01-05,8,16427,568,1202,1100,1032,5758,1067,111,3313,482,1872,16505,78
2021-01-05,9,17150,598,1209,1151,1081,6091,1135,116,3466,516,1951,17312,163
2021-01-05,10,17448,613,1195,1153,1092,6252,1154,115,3478,521,1965,17537,89
2021-01-05,11,17653,596,1195,1158,1071,6382,1166,117,3486,530,1967,17669,15
2021-01-05,12,17777,589,1163,1173,1070,6494,1169,116,3541,530,1973,17817,41
2021-01-05,13,17732,575,1172,1153,1057,6546,1172,115,3571,534,1986,17881,149
2021-01-05,14,17663,562,1151,1145,1041,6489,1171,114,3579,532,1976,17760,97
2021-01-05,15,17558,570,1183,1153,1055,6446,1174,114,3573,529,1957,17755,197
2021-01-05,16,17844,571,1195,1167,1086,6465,1186,114,3605,526,1962,17876,33
2021-01-05,17,18382,583,1276,1237,1172,6612,1257,117,3701,545,2008,18507,125
2021-01-05,18,19275,609,1318,1298,1244,6857,1362,120,3820,564,2065,19257,-18
2021-01-05,19,18828,612,1294,1248,1232,6755,1328,118,3720,555,1982,18844,16
2021-01-05,20,18286,609,1282,1195,1244,6548,1272,116,3645,571,1918,18400,115
2021-01-05,21,17825,603,1292,1158,1203,6306,1225,113,3545,534,1869,17849,24
2021-01-05,22,17086,579,1240,1101,1151,6024,1153,112,3436,519,1789,17105,19
2021-01-05,23,16046,565,1269,1028,1130,5693,1068,108,3226,492,1679,16258,212
2021-01-05,24,15059,543,1307,961,972,5339,992,104,3052,444,1553,15267,209
2021-01-06,1,14391,520,1290,908,893,5047,927,101,2929,430,1528,14572,181
2021-01-06,2,13930,505,1256,880,870,4853,882,99,2812,399,1529,14085,155
2021-01-06,3,13857,530,1244,870,865,4739,858,99,2778,417,1524,13923,66
2021-01-06,4,13915,520,1236,867,858,4725,850,100,2737,411,1522,13825,-90
2021-01-06,5,13862,448,1213,865,853,4770,865,99,2724,409,1537,13785,-77
2021-01-06,6,14245,431,1186,922,908,4942,911,101,2798,430,1586,14215,-30
2021-01-06,7,15225,448,1181,1000,985,5312,997,104,3051,445,1720,15243,17
2021-01-06,8,16510,476,1241,1092,1070,5746,1100,109,3362,485,1868,16548,39
2021-01-06,9,17118,502,1285,1143,1108,6044,1153,113,3470,507,1937,17262,144
2021-01-06,10,17428,508,1267,1148,1089,6191,1151,111,3424,520,1945,17355,-73
2021-01-06,11,17474,506,1266,1145,1079,6319,1134,107,3398,522,1932,17407,-66
2021-01-06,12,17614,495,1268,1138,1079,6465,1131,104,3388,531,1915,17516,-98
2021-01-06,13,17518,488,1273,1124,1066,6493,1128,110,3329,536,1896,17442,-76
2021-01-06,14,17369,484,1266,1133,1047,6457,1129,112,3295,534,1877,17335,-34
2021-01-06,15,17312,488,1267,1119,1054,6434,1144,110,3328,527,1905,17376,64
