\\Hourly Zonal Demand Report,,,,,,,,,,,,,,
\\Created at 2024-01-31 08:01:27,,,,,,,,,,,,,,
\\For 2023,,,,,,,,,,,,,,
Date,Hour,Ontario Demand,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West,Zone Total,Diff
2023-01-01,1,13514,613,1211,816,774,4511,918,95,2516,404,1621,13480,-34
2023-01-01,2,13225,607,1192,790,725,4382,876,92,2465,405,1603,13136,-89
2023-01-01,3,12726,587,1185,770,678,4261,840,92,2375,410,1607,12804,78
2023-01-01,4,12629,578,1187,757,678,4160,824,92,2341,401,1629,12647,18
2023-01-01,5,12625,572,1191,752,676,4102,819,93,2326,381,1631,12543,-82
2023-01-01,6,12636,568,1173,763,698,4105,827,94,2378,420,1679,12706,69
2023-01-01,7,13051,567,1191,786,722,4166,844,95,2437,413,1756,12978,-73
2023-01-01,8,13396,573,1206,821,759,4270,886,104,2449,459,1811,13337,-59
2023-01-01,9,13773,588,1225,850,785,4354,932,108,2548,468,1828,13685,-88
2023-01-01,10,14035,596,1229,887,816,4503,967,109,2687,470,1795,14059,24
2023-01-01,11,14381,594,1214,908,838,4714,982,110,2791,497,1937,14587,206
2023-01-01,12,14973,596,1240,939,859,4950,1023,111,2792,501,1935,14946,-27
2023-01-01,13,15298,603,1259,937,868,5129,1040,110,2861,496,1979,15282,-16
2023-01-01,14,15519,605,1262,948,895,5203,1075,111,2897,503,2006,15505,-14
2023-01-01,15,15690,599,1277,969,914,5239,1085,110,2915,512,1962,15583,-108
2023-01-01,16,15961,600,1288,995,966,5257,1106,110,2938,521,1970,15751,-210
2023-01-01,17,16131,619,1344,1052,1049,5362,1173,108,3020,526,1958,16211,80
2023-01-01,18,16705,635,1362,1096,1094,5607,1252,109,3236,538,1873,16801,96
2023-01-01,19,16251,625,1346,1067,1054,5577,1214,103,3138,520,1795,16439,188
2023-01-01,20,15980,608,1385,1036,1022,5462,1164,97,3073,515,1746,16107,128
2023-01-01,21,15559,597,1417,1004,989,5352,1121,92,2960,517,1701,15751,192
2023-01-01,22,15066,591,1380,968,944,5210,1064,90,2867,487,1635,15235,169
2023-01-01,23,14337,585,1352,917,888,4998,993,90,2688,452,1593,14557,221
2023-01-01,24,13723,578,1313,860,839,4747,903,92,2561,447,1533,13873,150
2023-01-02,1,13207,573,1279,817,795,4510,852,90,2493,392,1511,13313,106
2023-01-02,2,12755,558,1263,787,764,4320,818,88,2397,396,1501,12892,137
2023-01-02,3,12724,550,1254,770,743,4187,801,90,2448,376,1555,12775,51
2023-01-02,4,12603,552,1215,764,742,4127,790,91,2428,374,1558,12641,38
2023-01-02,5,12634,550,1202,782,759,4142,801,94,2419,383,1614,12747,113
2023-01-02,6,13116,552,1198,820,791,4261,842,96,2516,422,1713,13211,96
2023-01-02,7,13894,550,1240,885,812,4468,897,99,2637,445,1808,13840,-55
2023-01-02,8,14481,553,1256,901,870,4691,960,104,2846,479,1908,14567,86
2023-01-02,9,15073,565,1289,954,901,4869,1021,108,2947,498,1945,15096,23
2023-01-02,10,15469,581,1326,975,899,5096,1063,111,3019,504,1997,15572,103
2023-01-02,11,15821,590,1349,977,901,5278,1067,111,3091,505,1984,15854,33
2023-01-02,12,15911,596,1346,1004,860,5409,1084,110,3157,498,1879,15942,31
2023-01-02,13,15724,602,1336,1003,809,5531,1102,111,3143,481,1697,15815,90
2023-01-02,14,15792,603,1323,990,838,5547,1108,110,3129,492,1803,15942,150
2023-01-02,15,16215,600,1336,972,904,5531,1113,111,3131,489,1975,16163,-52
2023-01-02,16,16429,606,1356,1015,962,5575,1138,113,3173,508,2019,16464,35
2023-01-02,17,17131,616,1377,1108,1079,5765,1220,116,3252,537,2048,17119,-11
2023-01-02,18,17837,627,1374,1195,1148,6054,1303,119,3472,571,2000,17863,26
2023-01-02,19,17493,620,1370,1152,1108,6027,1275,116,3435,550,1931,17582,89
2023-01-02,20,17198,634,1413,1102,1059,5966,1240,113,3367,532,1866,17293,94
2023-01-02,21,16845,644,1409,1063,1027,5856,1195,109,3335,520,1783,16940,94
2023-01-02,22,16172,669,1370,1024,979,5664,1137,107,3204,497,1619,16270,99
2023-01-02,23,15365,656,1356,978,940,5393,1057,105,3013,473,1524,15495,130
2023-01-02,24,14599,635,1321,914,880,5039,963,102,2868,444,1520,14684,85
2023-01-03,1,14212,630,1334,870,863,4810,902,99,2751,417,1547,14223,12
2023-01-03,2,13851,622,1310,833,851,4633,860,97,2663,405,1574,13847,-4
2023-01-03,3,13512,608,1292,819,830,4497,838,96,2636,391,1581,13587,75
2023-01-03,4,13423,610,1277,783,832,4479,834,96,2640,394,1606,13550,127
2023-01-03,5,13607,597,1215,796,853,4496,852,99,2647,401,1654,13610,3
2023-01-03,6,14026,590,1220,857,895,4644,903,100,2754,439,1725,14129,103
2023-01-03,7,15140,594,1247,945,959,5006,984,99,2971,460,1861,15126,-14
2023-01-03,8,16024,579,1281,1007,1023,5432,1063,103,3206,484,1946,16124,99
2023-01-03,9,16590,600,1314,1049,1039,5709,1105,107,3352,509,1960,16744,154
2023-01-03,10,16869,604,1316,1051,1028,5913,1133,107,3384,531,2098,17165,295
2023-01-03,11,17526,604,1309,1079,1046,6121,1155,105,3448,553,2193,17612,86
2023-01-03,12,17686,599,1271,1110,1012,6246,1150,105,3498,574,2170,17736,50
2023-01-03,13,17506,595,1270,1087,1002,6283,1137,104,3540,572,2150,17741,234
2023-01-03,14,17608,599,1292,1078,967,6323,1127,96,3521,577,2188,17767,159
2023-01-03,15,17741,611,1288,1086,1002,6259,1133,106,3563,577,2162,17786,46
2023-01-03,16,17836,611,1298,1096,1056,6292,1171,108,3574,574,2165,17946,109
2023-01-03,17,18219,622,1329,1160,1138,6473,1243,112,3617,571,2135,18401,182
2023-01-03,18,18857,637,1351,1223,1183,6619,1320,110,3788,591,2064,18886,29
2023-01-03,19,18325,626,1350,1151,1164,6504,1291,107,3680,573,2052,18497,173
2023-01-03,20,18049,669,1342,1125,1135,6352,1265,103,3632,549,1949,18121,72
2023-01-03,21,17631,670,1345,1123,1086,6212,1234,102,3538,532,1915,17756,125
2023-01-03,22,16955,669,1291,1070,1046,6019,1176,98,3367,516,1829,17082,127
2023-01-03,23,16143,647,1254,986,980,5693,1083,92,3192,495,1776,16198,55
2023-01-03,24,15411,653,1252,905,900,5339,988,91,2977,457,1723,15286,-125
2023-01-04,1,14802,639,1294,858,829,5035,926,93,2863,429,1670,14636,-167
2023-01-04,2,14121,634,1258,837,789,4807,877,90,2818,421,1597,14127,6
2023-01-04,3,14024,631,1282,832,788,4687,855,88,2746,428,1631,13968,-56
2023-01-04,4,13945,633,1276,815,809,4630,843,88,2726,447,1611,13877,-68
2023-01-04,5,14000,628,1288,832,821,4674,853,95,2774,436,1617,14016,16
2023-01-04,6,14464,625,1279,871,855,4866,896,97,2871,460,1732,14553,89
