\\Hourly Zonal Demand Report,,,,,,,,,,,,,,
\\Created at 2025-07-12 08:00:40,,,,,,,,,,,,,,
\\For 2025,,,,,,,,,,,,,,
Date,Hour,Ontario Demand,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West,Zone Total,Diff
2025-01-01,1,13887,588,1319,897,808,4860,995,98,2570,464,1498,14098,212
2025-01-01,2,13722,580,1312,880,780,4740,954,97,2539,452,1507,13842,119
2025-01-01,3,13688,577,1321,855,756,4639,924,93,2488,441,1613,13707,19
2025-01-01,4,13613,573,1333,838,774,4531,911,92,2451,446,1678,13626,13
2025-01-01,5,13593,573,1339,844,846,4487,910,91,2413,449,1722,13673,80
2025-01-01,6,13674,570,1308,855,846,4517,910,90,2413,459,1774,13741,67
2025-01-01,7,13957,523,1300,891,908,4595,932,91,2461,489,1851,14041,84
2025-01-01,8,14315,499,1328,906,956,4678,959,96,2519,493,1926,14360,46
2025-01-01,9,14604,509,1355,927,993,4753,1001,101,2575,494,1949,14657,52
2025-01-01,10,15056,519,1362,981,1018,4901,1057,105,2651,511,1975,15079,23
2025-01-01,11,15521,527,1384,1027,1052,5066,1104,108,2719,558,1968,15512,-9
2025-01-01,12,15800,525,1365,1064,1074,5243,1142,110,2780,552,2010,15865,65
2025-01-01,13,15941,521,1336,1078,1087,5358,1159,110,2810,562,1999,16021,80
2025-01-01,14,15977,519,1304,1081,1078,5401,1165,110,2832,572,2047,16108,131
2025-01-01,15,16066,521,1313,1091,1070,5381,1168,108,2899,547,2069,16167,101
2025-01-01,16,16321,572,1344,1105,1099,5432,1185,108,2969,557,2109,16481,160
2025-01-01,17,17058,618,1390,1161,1158,5581,1251,113,3053,576,2126,17027,-31
2025-01-01,18,17519,631,1415,1191,1170,5901,1342,117,3239,596,1999,17602,83
2025-01-01,19,17454,633,1404,1155,1107,5892,1318,113,3295,579,1886,17382,-72
2025-01-01,20,17131,635,1468,1138,1056,5802,1283,107,3240,563,1801,17094,-38
2025-01-01,21,16701,631,1484,1116,1016,5694,1239,108,3193,550,1684,16714,13
2025-01-01,22,16159,629,1449,1060,939,5542,1187,102,3137,541,1601,16187,28
2025-01-01,23,15410,616,1427,1008,881,5313,1113,98,3006,521,1513,15497,87
2025-01-01,24,14772,607,1390,967,854,5065,1038,94,2887,482,1524,14907,135
2025-01-02,1,14209,597,1341,928,822,4849,981,91,2794,457,1522,14383,173
2025-01-02,2,14045,592,1309,900,805,4675,939,91,2706,479,1541,14036,-9
2025-01-02,3,13934,587,1284,888,805,4566,920,90,2619,461,1652,13873,-61
2025-01-02,4,13903,589,1268,892,805,4555,909,90,2602,442,1740,13893,-10
2025-01-02,5,14059,590,1266,900,829,4585,931,91,2601,447,1807,14047,-11
2025-01-02,6,14501,593,1286,938,905,4747,969,94,2729,461,1870,14590,89
2025-01-02,7,15408,602,1319,1021,942,5096,1040,96,2930,501,1983,15528,120
2025-01-02,8,16521,597,1368,1081,1005,5500,1129,104,3124,543,2122,16574,52
2025-01-02,9,16931,613,1390,1114,972,5731,1198,106,3240,569,2210,17144,214
2025-01-02,10,17278,624,1360,1135,914,5920,1224,109,3291,576,2236,17388,110
2025-01-02,11,17375,626,1369,1131,874,6045,1230,110,3271,580,2267,17504,129
2025-01-02,12,17486,616,1372,1152,849,6186,1233,110,3328,579,2289,17714,228
2025-01-02,13,17689,611,1369,1127,865,6264,1246,110,3377,565,2295,17830,140
2025-01-02,14,17817,607,1362,1129,910,6232,1231,111,3425,580,2295,17881,64
2025-01-02,15,17851,605,1343,1147,946,6198,1245,107,3501,593,2311,17997,145
2025-01-02,16,18167,617,1367,1206,1034,6242,1267,110,3531,596,2326,18296,130
2025-01-02,17,18780,625,1422,1269,1129,6417,1338,111,3580,615,2354,18857,76
2025-01-02,18,19450,636,1459,1327,1203,6731,1444,111,3774,631,2212,19526,76
2025-01-02,19,19226,639,1456,1252,1181,6700,1427,109,3734,625,2086,19210,-16
2025-01-02,20,18901,642,1525,1243,1152,6650,1399,104,3685,619,2010,19028,127
2025-01-02,21,18759,659,1538,1224,1139,6542,1362,102,3631,606,1923,18726,-34
2025-01-02,22,18062,603,1494,1184,1094,6324,1307,100,3513,594,1834,18047,-14
2025-01-02,23,16965,592,1459,1118,1009,6030,1217,98,3331,571,1746,17172,207
2025-01-02,24,16192,635,1409,1019,948,5686,1133,98,3119,535,1728,16310,118
2025-01-03,1,15535,626,1378,991,885,5416,1070,98,3005,520,1705,15696,161
2025-01-03,2,15434,623,1377,966,884,5221,1035,100,2927,508,1713,15355,-80
2025-01-03,3,15284,620,1387,963,892,5081,1009,100,2841,504,1823,15220,-64
2025-01-03,4,15294,619,1392,986,886,5009,1004,101,2890,499,1900,15284,-10
2025-01-03,5,15521,614,1402,1030,918,5032,1016,101,2903,505,1958,15480,-41
2025-01-03,6,16013,618,1417,1054,965,5175,1051,104,2973,525,2020,15903,-110
2025-01-03,7,16916,629,1455,1145,1034,5503,1130,103,3143,554,2135,16830,-86
