Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1968,239.4,234,170.65,298.8,274.8 ,202.0 ,177.0 ,188.2 ,219.0 ,346.5 ,190.9 ,250.8 ,294.3 ,239.4 ,233.9 ,210.9 ,195.0 ,303.3 ,216.5 ,165.6 ,175.7 ,293.7 ,164.5 ,210.9 ,245.6 ,276.0 ,279.6 ,283.6 
1969,154.2,233,150.95,373.4,198.9 ,181.2 ,281.0 ,257.8 ,188.6 ,189.3 ,269.4 ,331.6 ,206.7 ,248.5 ,186.3 ,151.4 ,224.7 ,150.5 ,270.7 ,178.8 ,415.2 ,214.8 ,460.5 ,217.9 ,306.6 ,205.3 ,109.3 ,167.1 
1970,210.4,206,154.1,270.3,186.9 ,147.6 ,174.3 ,187.5 ,229.9 ,171.8 ,328.3 ,199.7 ,211.0 ,160.6 ,191.4 ,201.4 ,221.9 ,248.0 ,174.4 ,260.5 ,146.7 ,236.0 ,165.6 ,268.7 ,177.7 ,189.5 ,205.4 ,271.9 
1971,142.2,208,132.25,284.65,280.6 ,241.6 ,238.5 ,124.8 ,197.3 ,129.8 ,192.3 ,208.6 ,200.2 ,182.0 ,171.0 ,370.7 ,207.5 ,192.0 ,157.5 ,288.7 ,264.0 ,243.5 ,134.7 ,219.5 ,178.9 ,224.9 ,221.7 ,142.7 
1972,221.5,207,131.55,280.85,151.1 ,229.5 ,128.4 ,211.3 ,199.8 ,205.2 ,129.3 ,246.0 ,146.0 ,285.2 ,180.2 ,171.7 ,133.8 ,229.7 ,204.6 ,276.5 ,231.4 ,248.2 ,234.4 ,194.8 ,197.3 ,170.1 ,262.2 ,319.8 
1973,255.6,212,121.9,309.25,164.2 ,183.6 ,187.2 ,157.9 ,206.0 ,236.7 ,133.2 ,190.7 ,113.3 ,111.8 ,239.0 ,278.2 ,264.2 ,353.6 ,130.5 ,219.3 ,130.9 ,241.9 ,281.3 ,219.3 ,337.2 ,231.4 ,228.4 ,248.9 
1974,170,195,91.75,291.15,156.9 ,204.3 ,220.3 ,243.5 ,106.5 ,179.7 ,260.9 ,163.9 ,376.1 ,282.1 ,205.4 ,300.2 ,213.9 ,199.2 ,273.7 ,142.3 ,74.6 ,152.0 ,233.7 ,239.4 ,166.7 ,104.3 ,79.2 ,105.5 
1975,170.8,229,129,296.7,221.3 ,189.7 ,122.5 ,237.1 ,172.7 ,208.6 ,197.3 ,243.1 ,422.9 ,232.3 ,227.9 ,253.0 ,200.9 ,265.5 ,250.1 ,262.8 ,275.2 ,235.1 ,286.6 ,248.9 ,306.8 ,135.5 ,121.9 ,177.3 
1976,145.3,215,142.7,290.75,137.7 ,207.7 ,301.0 ,198.2 ,213.5 ,290.2 ,184.1 ,291.3 ,259.3 ,180.2 ,272.1 ,224.1 ,153.7 ,247.9 ,209.5 ,121.1 ,269.9 ,161.4 ,178.3 ,205.1 ,250.8 ,242.5 ,216.8 ,147.7 
1977,328.3,231,151.75,307.05,224.5 ,192.1 ,159.6 ,208.1 ,263.6 ,191.5 ,366.3 ,146.8 ,210.1 ,244.3 ,134.6 ,156.7 ,174.1 ,260.2 ,269.8 ,265.3 ,294.5 ,206.5 ,185.0 ,283.5 ,244.5 ,266.3 ,281.0 ,319.6 
1978,249.1,192,124.1,273.25,219.0 ,232.0 ,130.4 ,164.3 ,171.5 ,144.1 ,244.0 ,220.2 ,184.2 ,141.9 ,297.1 ,101.1 ,249.4 ,233.9 ,206.6 ,240.5 ,304.4 ,120.0 ,134.2 ,174.4 ,176.6 ,228.6 ,128.2 ,170.8 
1979,234.3,219,126.9,286,267.2 ,210.4 ,240.4 ,241.0 ,289.4 ,123.0 ,236.7 ,155.1 ,282.6 ,110.3 ,220.9 ,261.7 ,265.3 ,220.3 ,166.5 ,173.3 ,234.6 ,130.8 ,166.4 ,222.9 ,242.3 ,247.0 ,296.2 ,271.9 
1980,195.2,203,149.45,281.6,250.5 ,189.9 ,208.7 ,174.2 ,155.6 ,296.9 ,213.8 ,188.2 ,243.6 ,181.0 ,176.6 ,273.2 ,290.0 ,186.3 ,225.3 ,183.5 ,241.5 ,143.3 ,171.2 ,136.8 ,180.1 ,221.8 ,165.8 ,180.0 
1981,272.2,193,142.5,249.6,253.6 ,192.7 ,243.5 ,181.5 ,321.0 ,179.8 ,154.3 ,148.0 ,184.8 ,245.6 ,121.2 ,137.1 ,195.5 ,241.5 ,153.4 ,212.5 ,160.3 ,203.9 ,147.9 ,149.7 ,245.0 ,223.4 ,201.0 ,151.6 
1982,251.8,218,129.8,304.8,202.6 ,269.7 ,210.3 ,299.8 ,182.6 ,309.8 ,215.0 ,181.8 ,253.7 ,120.9 ,234.0 ,224.0 ,259.4 ,283.6 ,173.7 ,250.5 ,178.6 ,198.5 ,138.7 ,313.3 ,216.0 ,232.5 ,189.1 ,111.5 
1983,251.3,225,155.2,289.65,218.8 ,205.9 ,254.3 ,188.9 ,231.3 ,197.3 ,136.3 ,174.1 ,411.5 ,189.6 ,283.8 ,213.1 ,114.8 ,260.8 ,224.5 ,266.3 ,235.7 ,218.5 ,213.7 ,208.5 ,209.7 ,212.6 ,256.9 ,295.5 
1984,190.1,206,120.35,282.1,115.3 ,213.8 ,231.0 ,202.7 ,140.1 ,168.8 ,250.4 ,201.7 ,216.7 ,124.9 ,276.5 ,161.3 ,225.3 ,212.2 ,287.7 ,206.5 ,174.0 ,246.6 ,242.7 ,338.3 ,223.6 ,240.7 ,115.8 ,141.9 
1985,309,209,101.8,295.9,213.7 ,292.7 ,270.1 ,204.4 ,162.1 ,210.6 ,191.4 ,167.7 ,198.4 ,205.1 ,275.7 ,86.4 ,289.0 ,236.6 ,330.4 ,299.1 ,117.2 ,70.6 ,228.1 ,224.6 ,213.0 ,197.7 ,206.2 ,137.5 
