Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1968,213.4,214,129.7,309.9,218.9 ,253.7 ,182.1 ,274.2 ,256.6 ,164.6 ,143.7 ,345.6 ,115.7 ,159.9 ,240.8 ,197.6 ,178.9 ,199.3 ,345.7 ,244.6 ,95.6 ,221.7 ,240.2 ,165.7 ,190.5 ,254.8 ,226.4 ,219.6 
1969,182,220,147.5,330.05,231.7 ,171.8 ,314.4 ,123.2 ,265.9 ,345.7 ,184.9 ,179.7 ,260.7 ,200.5 ,221.9 ,184.0 ,260.0 ,224.3 ,188.3 ,232.5 ,393.0 ,226.1 ,182.1 ,216.5 ,175.9 ,119.9 ,198.8 ,200.0 
1970,204.6,185,126.65,283.7,125.0 ,224.6 ,195.4 ,150.2 ,172.3 ,230.0 ,261.6 ,172.0 ,151.6 ,153.4 ,185.0 ,135.0 ,305.8 ,129.9 ,128.3 ,309.5 ,237.0 ,185.6 ,142.5 ,111.6 ,161.1 ,153.4 ,222.2 ,217.0 
1971,237.9,210,149.2,277.55,210.9 ,172.6 ,187.0 ,159.3 ,259.0 ,160.6 ,199.8 ,313.0 ,196.6 ,186.1 ,159.5 ,240.4 ,199.8 ,265.0 ,139.1 ,206.8 ,290.1 ,251.9 ,251.3 ,248.7 ,137.6 ,178.8 ,209.5 ,226.4 
1972,232.7,205,128,282.95,143.5 ,260.0 ,211.7 ,254.2 ,103.5 ,146.8 ,171.9 ,281.9 ,275.2 ,112.5 ,149.2 ,223.0 ,160.5 ,210.7 ,214.6 ,258.8 ,196.8 ,218.3 ,307.3 ,217.4 ,146.3 ,197.0 ,284.0 ,192.0 
1973,129,226,138.95,311.8,218.9 ,464.1 ,200.7 ,159.7 ,162.2 ,236.7 ,303.8 ,249.4 ,128.4 ,244.6 ,154.3 ,223.2 ,293.4 ,215.3 ,195.6 ,140.3 ,254.9 ,153.0 ,287.4 ,192.7 ,250.5 ,319.8 ,237.7 ,137.6 
1974,165,189,133.85,270.65,207.5 ,163.2 ,98.2 ,276.3 ,239.1 ,176.1 ,180.6 ,265.0 ,288.0 ,143.6 ,202.6 ,158.3 ,175.0 ,158.8 ,163.3 ,195.5 ,137.1 ,215.9 ,132.2 ,227.3 ,228.8 ,159.0 ,135.5 ,218.4 
1975,220.9,210,100.9,315.8,203.4 ,122.2 ,198.1 ,97.7 ,313.1 ,262.9 ,244.0 ,253.3 ,266.5 ,188.9 ,292.4 ,109.6 ,145.5 ,318.5 ,203.8 ,176.1 ,237.2 ,232.1 ,157.2 ,104.1 ,271.0 ,95.5 ,395.7 ,165.4 
1976,234.6,182,110.3,282,159.6 ,166.2 ,101.3 ,281.2 ,187.6 ,183.4 ,233.6 ,126.8 ,142.4 ,192.0 ,121.7 ,121.9 ,203.6 ,152.6 ,79.6 ,220.7 ,222.2 ,329.5 ,179.6 ,180.8 ,193.6 ,119.3 ,282.8 ,203.6 
1977,256.5,209,132,298.1,254.0 ,148.6 ,200.2 ,171.2 ,286.6 ,146.2 ,267.5 ,131.3 ,115.8 ,132.7 ,232.0 ,255.5 ,214.4 ,139.9 ,230.6 ,218.2 ,309.6 ,169.6 ,199.3 ,367.4 ,167.2 ,279.5 ,148.1 ,236.5 
1978,149.7,200,99.6,309.25,314.8 ,181.7 ,322.0 ,240.0 ,165.5 ,212.2 ,204.7 ,303.7 ,108.8 ,186.1 ,195.2 ,251.7 ,208.2 ,213.5 ,146.3 ,284.9 ,261.1 ,90.4 ,150.0 ,89.1 ,184.4 ,118.0 ,180.8 ,208.3 
1979,173.1,208,141.85,280.35,154.2 ,187.5 ,144.1 ,210.2 ,278.4 ,143.4 ,398.3 ,274.1 ,215.0 ,226.2 ,273.2 ,213.8 ,188.2 ,185.8 ,185.6 ,143.5 ,194.4 ,186.3 ,249.9 ,217.8 ,140.3 ,108.6 ,282.3 ,203.2 
1980,229.9,205,155.85,279.85,202.2 ,153.8 ,178.8 ,219.7 ,202.8 ,194.9 ,225.2 ,271.5 ,207.8 ,228.3 ,195.7 ,157.9 ,258.3 ,311.9 ,288.2 ,179.2 ,112.3 ,193.5 ,185.0 ,167.1 ,206.8 ,177.1 ,181.8 ,221.2 
1981,261.5,165,105.05,269.8,233.3 ,143.0 ,180.3 ,158.9 ,317.3 ,211.9 ,137.5 ,106.2 ,191.1 ,216.4 ,306.3 ,131.5 ,114.5 ,126.3 ,175.0 ,205.4 ,139.9 ,143.0 ,51.4 ,103.9 ,124.5 ,128.7 ,209.5 ,124.1 
1982,256.2,219,167.5,279.4,290.2 ,235.8 ,254.6 ,226.0 ,174.5 ,273.6 ,169.7 ,173.4 ,165.3 ,194.9 ,202.3 ,196.0 ,262.8 ,249.8 ,208.2 ,205.2 ,213.2 ,254.5 ,285.2 ,177.5 ,159.8 ,207.8 ,244.9 ,252.4 
1983,174.2,200,111.5,279.45,99.1 ,131.5 ,233.4 ,180.7 ,101.3 ,248.4 ,249.0 ,147.6 ,290.1 ,247.8 ,221.1 ,268.8 ,203.4 ,155.2 ,121.7 ,163.4 ,164.2 ,139.2 ,192.1 ,221.6 ,142.0 ,462.4 ,220.3 ,194.7 
1984,196,201,115.2,283.05,180.7 ,204.1 ,94.5 ,206.9 ,148.2 ,197.6 ,163.7 ,108.9 ,121.5 ,194.3 ,245.4 ,249.9 ,252.5 ,256.8 ,272.8 ,349.8 ,214.9 ,127.7 ,170.9 ,255.1 ,293.3 ,183.5 ,152.4 ,183.9 
1985,212,206,145.55,279.5,185.6 ,165.3 ,178.0 ,280.4 ,205.0 ,192.6 ,212.0 ,276.7 ,180.3 ,214.4 ,150.3 ,137.8 ,318.9 ,206.8 ,237.0 ,149.4 ,215.2 ,156.1 ,278.6 ,221.5 ,193.3 ,141.7 ,201.4 ,261.8 
1986,298.3,197,136.2,294,147.9 ,227.2 ,227.3 ,213.9 ,185.6 ,167.1 ,216.4 ,229.9 ,186.3 ,144.7 ,338.1 ,328.2 ,211.3 ,139.7 ,172.2 ,132.7 ,152.8 ,194.2 ,199.0 ,79.0 ,259.8 ,236.5 ,145.8 ,209.3 
1987,240.5,214,147.45,300.9,259.0 ,238.7 ,180.1 ,253.5 ,216.7 ,222.8 ,140.0 ,199.8 ,257.7 ,198.3 ,255.0 ,329.3 ,162.5 ,184.7 ,272.5 ,218.6 ,226.4 ,368.1 ,190.1 ,154.9 ,169.2 ,112.4 ,167.0 ,177.5 
1988,168.4,199,122.7,287.3,145.4 ,218.5 ,222.6 ,123.2 ,158.2 ,193.3 ,301.9 ,180.7 ,216.1 ,246.7 ,176.3 ,214.1 ,118.2 ,238.9 ,272.7 ,210.9 ,239.3 ,148.2 ,184.8 ,186.8 ,127.6 ,393.3 ,122.2 ,157.9 
1989,145.9,211,124.3,287.6,248.1 ,295.2 ,216.3 ,199.3 ,222.8 ,225.7 ,214.3 ,131.2 ,160.4 ,273.4 ,258.3 ,219.0 ,256.3 ,156.2 ,235.9 ,87.0 ,153.6 ,192.5 ,117.4 ,280.6 ,252.5 ,294.6 ,238.7 ,153.2 
1990,222.4,207,139.05,295.25,174.7 ,168.3 ,178.2 ,252.0 ,226.8 ,211.7 ,252.7 ,230.8 ,160.8 ,345.8 ,199.8 ,121.4 ,193.8 ,198.0 ,156.9 ,217.7 ,156.7 ,218.4 ,282.4 ,186.6 ,194.9 ,224.6 ,117.3 ,308.1 
1991,172.9,195,111.9,259,196.0 ,248.1 ,166.5 ,235.9 ,118.3 ,147.7 ,125.1 ,105.5 ,259.5 ,223.0 ,152.3 ,190.0 ,338.1 ,240.5 ,190.5 ,199.3 ,84.9 ,251.4 ,258.5 ,148.9 ,169.3 ,242.3 ,212.8 ,189.8 
1992,302.4,197,99.55,288.85,185.1 ,240.3 ,242.7 ,182.1 ,86.4 ,204.7 ,197.5 ,112.7 ,308.3 ,245.0 ,216.8 ,234.7 ,205.4 ,208.8 ,146.4 ,78.0 ,234.5 ,277.8 ,299.9 ,169.9 ,139.1 ,114.8 ,196.5 ,210.4 
1993,221.9,194,116.7,308.65,96.3 ,213.1 ,180.0 ,179.3 ,325.2 ,204.7 ,142.2 ,321.8 ,192.4 ,151.0 ,120.6 ,270.4 ,140.1 ,230.2 ,112.8 ,295.5 ,159.9 ,263.2 ,137.3 ,126.6 ,123.6 ,235.9 ,164.2 ,288.8 
1994,185.7,200,131.85,311.5,250.0 ,225.7 ,155.4 ,138.2 ,145.0 ,282.9 ,125.5 ,144.8 ,298.6 ,205.3 ,180.5 ,324.4 ,193.4 ,211.5 ,175.1 ,175.6 ,158.6 ,181.3 ,123.7 ,341.1 ,191.1 ,193.3 ,155.8 ,228.2 
1995,191.7,191,119.95,272.95,138.3 ,289.2 ,164.5 ,223.2 ,231.7 ,181.4 ,294.4 ,113.0 ,184.1 ,126.9 ,200.0 ,164.4 ,208.4 ,141.8 ,184.0 ,165.7 ,95.5 ,196.4 ,252.3 ,190.2 ,200.5 ,256.7 ,206.3 ,177.8 
1996,250.3,198,145.45,298.5,315.0 ,201.8 ,157.3 ,328.9 ,187.5 ,234.6 ,163.4 ,219.7 ,149.6 ,138.3 ,228.5 ,161.1 ,171.6 ,157.9 ,207.2 ,197.5 ,185.1 ,175.0 ,190.7 ,171.1 ,231.7 ,141.3 ,282.0 ,162.5 
1997,198.3,209,130.5,329.1,333.1 ,254.5 ,61.8 ,172.4 ,167.2 ,130.8 ,160.8 ,141.5 ,160.6 ,130.2 ,168.6 ,231.6 ,137.8 ,233.3 ,181.2 ,220.0 ,212.6 ,303.5 ,311.6 ,387.5 ,325.1 ,222.3 ,220.5 ,159.0 
1998,198.5,220,144.4,297.5,162.9 ,154.1 ,162.0 ,121.8 ,191.3 ,188.0 ,283.9 ,185.1 ,187.0 ,286.5 ,233.7 ,134.7 ,215.4 ,241.5 ,223.5 ,205.1 ,259.1 ,235.1 ,250.5 ,249.5 ,308.5 ,200.8 ,350.0 ,250.5 
1999,165.6,205,136.85,299.45,185.7 ,161.0 ,150.9 ,192.7 ,262.2 ,196.9 ,200.7 ,233.4 ,135.3 ,214.0 ,219.6 ,277.9 ,138.4 ,321.0 ,179.6 ,179.9 ,234.0 ,113.3 ,187.1 ,241.1 ,217.5 ,376.6 ,165.8 ,142.1 
2000,297.6,204,117.35,300.95,175.5 ,180.7 ,247.9 ,356.9 ,267.1 ,106.6 ,293.5 ,175.6 ,144.4 ,188.2 ,228.4 ,223.6 ,203.5 ,120.1 ,185.4 ,210.4 ,114.6 ,308.4 ,161.9 ,229.0 ,277.4 ,158.5 ,146.6 ,213.0 
2001,124.4,230,132.45,291.85,284.3 ,199.8 ,227.6 ,121.9 ,264.8 ,258.3 ,284.1 ,258.4 ,266.1 ,176.6 ,182.0 ,277.6 ,269.5 ,88.4 ,223.7 ,259.0 ,282.4 ,299.4 ,198.1 ,192.5 ,302.2 ,196.6 ,143.0 ,271.1 
2002,151,212,131.75,308.35,263.0 ,150.8 ,195.1 ,178.5 ,98.4 ,298.3 ,318.4 ,243.8 ,272.6 ,174.8 ,202.3 ,221.3 ,138.1 ,133.5 ,169.5 ,217.5 ,405.9 ,198.1 ,287.6 ,216.4 ,189.9 ,189.6 ,202.0 ,130.0 
2003,184.4,202,130.2,277.05,128.3 ,173.2 ,191.2 ,235.7 ,216.1 ,200.8 ,194.1 ,104.6 ,153.4 ,237.6 ,271.8 ,199.8 ,212.4 ,266.5 ,276.0 ,278.1 ,163.4 ,189.1 ,132.1 ,146.4 ,194.0 ,161.9 ,235.0 ,301.4 
2004,214.9,212,136.65,282.7,146.6 ,247.4 ,126.7 ,212.1 ,285.7 ,266.9 ,204.4 ,107.8 ,281.9 ,220.6 ,228.4 ,154.9 ,267.7 ,207.8 ,152.9 ,237.1 ,159.0 ,223.8 ,261.4 ,176.0 ,229.0 ,269.7 ,154.5 ,283.5 
2005,193.1,221,165.8,294.2,231.9 ,230.0 ,242.3 ,218.2 ,312.3 ,265.8 ,159.3 ,201.1 ,210.3 ,330.2 ,139.0 ,172.3 ,204.9 ,212.6 ,186.2 ,175.6 ,255.8 ,212.3 ,219.4 ,255.2 ,211.5 ,276.1 ,198.5 ,185.6 
